Tempo (s), Distância (m), Refletância (%), Erro (%), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
3.015, 0.0, 63, 20.4096912103491, 0, 0, 0.0, 0, 0
3.047, 0.0, 80, 37.4096912103491, 0, 0, 0.0, 0, 0
3.086, 0.0004886921905584122, 80, 37.4096912103491, 7, 14, 0.0001583578064025963, 0, 13
3.122, 0.002199114857512855, 79, 36.4096912103491, 81, 155, 0.0007043929716569043, 0, 193
3.161, 0.00439822971502571, 77, 34.4096912103491, 64, 164, 0.001391404528638314, 0, 25
3.199, 0.006841690667817772, 69, 26.4096912103491, 47, 197, 0.00213869667640443, 0, 46
3.234, 0.00952949771588904, 48, 5.409691210349102, 80, 244, 0.002946659776094323, 0, 82
3.271, 0.01221730476396031, 26, 16.5903087896509, 59, 219, 0.003735036613867413, 1, 38
3.31, 0.01441641962147316, 13, 29.5903087896509, 54, 188, 0.004355413782922406, 1, 38
3.344, 0.01685988057426522, 9, 33.5903087896509, 113, 147, 0.005041830315270701, 1, 92
3.381, 0.01930334152705728, 7, 35.5903087896509, 196, 83, 0.0057093586297123, 1, 164
3.42, 0.02174680247984935, 8, 34.5903087896509, 206, 46, 0.006358714175394545, 1, 45
3.454, 0.02370157124208299, 10, 32.5903087896509, 189, 57, 0.006862064632913432, 1, 34
3.495, 0.02663372438543346, 15, 27.5903087896509, 220, 72, 0.007620521998693411, 1, 50
3.534, 0.02932153143350473, 24, 18.5903087896509, 224, 58, 0.008296981163979835, 1, 22
3.571, 0.0317649923862968, 40, 2.590308789650898, 210, 48, 0.008895265299999103, 1, 27
3.609, 0.03396410724380966, 54, 11.4096912103491, 208, 65, 0.009410946867223513, 2, 22
3.651, 0.03689626038716012, 69, 26.4096912103491, 187, 70, 0.01010579577846073, 2, 14
3.685, 0.03909537524467298, 76, 33.4096912103491, 134, 117, 0.01060932842460596, 2, 99
3.72, 0.04129449010218583, 79, 36.4096912103491, 79, 191, 0.01110066938230802, 2, 132
3.755, 0.0434936049596987, 79, 36.4096912103491, 59, 223, 0.01158285085477994, 2, 63
3.793, 0.04593706591249076, 76, 33.4096912103491, 57, 184, 0.01211101131360157, 2, 43
3.832, 0.04862487296056202, 68, 25.40969121034911, 77, 203, 0.01268916308991702, 2, 34
3.868, 0.05106833391335409, 51, 8.409691210349102, 65, 222, 0.01320277505515876, 2, 31
