Tempo (s), Distância (m), Vel. Média (m/s), Preto (%), Branco (%), Limite (%), Refletância (%), Erro (%), Ganho Proporcional ((°/s)/%), Ganho Integral ((°/s)/%), Ganho Derivativo ((°/s)/%), Vel. Base (°/s), Correção P (°/s), Correção I (°/s), Correção D (°/s), Correção (°/s), Vel. Angular Esq. (°/s), Vel. Angular Dir. (°/s), Suavidade Esq. (°/s), Suavidade Dir. (°/s), Oscilação
0.008, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.2, -0.2318724602179941, 2.8, 0, 0, 230, -64.92428886103832, 0, 0, -64.92428886103832, 0, 0, 0, 0, 0
0.05, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.79, 0.3581275397820059, 2.8, 0, 0, 230, 100.2757111389617, 0, 0, 100.2757111389617, 0, 0, 0, 0, 1
0.103, 0.001954768762233649, 0.01897833749741407, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8, 0.368127539782006, 2.8, 0, 0, 230, 103.0757111389617, 0, 0, 103.0757111389617, 86, 88, 86, 88, 1
0.153, 0.005375614096142534, 0.03513473265452637, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.77, 0.338127539782006, 2.8, 0, 0, 230, 94.67571113896167, 0, 0, 94.67571113896167, 154, 168, 68, 80, 1
0.198, 0.00952949771588904, 0.04812877634287394, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.6899999999999999, 0.258127539782006, 2.8, 0, 0, 230, 72.27571113896167, 0, 0, 72.27571113896167, 117, 272, 37, 104, 1
0.253, 0.01563815009786919, 0.06181086995205215, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.28, -0.151872460217994, 2.8, 0, 0, 230, -42.52428886103833, 0, 0, -42.52428886103833, 166, 323, 49, 51, 2
0.297, 0.02125811028929093, 0.0715761289201715, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.11, -0.321872460217994, 2.8, 0, 0, 230, -90.12428886103832, 0, 0, -90.12428886103832, 180, 298, 14, 25, 2
0.349, 0.02663372438543346, 0.07631439651986667, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.8, 0, 0, 230, -98.52428886103834, 0, 0, -98.52428886103834, 247, 187, 67, 111, 2
0.395, 0.03152064629101759, 0.07979910453422175, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.8, 0, 0, 230, -98.52428886103834, 0, 0, -98.52428886103834, 313, 125, 66, 62, 2
0.443, 0.03689626038716012, 0.08328726949697545, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.13, -0.301872460217994, 2.8, 0, 0, 230, -84.52428886103833, 0, 0, -84.52428886103833, 347, 115, 34, 10, 2
0.496, 0.0437379510549779, 0.08818135293342317, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.42, -0.01187246021799403, 2.8, 0, 0, 230, -3.324288861038329, 0, 0, -3.324288861038329, 319, 153, 28, 38, 2
0.5470000000000001, 0.04911356515112043, 0.08978713921594229, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.73, 0.298127539782006, 2.8, 0, 0, 230, 83.47571113896167, 0, 0, 83.47571113896167, 295, 168, 24, 15, 3
0.597, 0.05473352534254218, 0.09168094697243244, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.79, 0.3581275397820059, 2.8, 0, 0, 230, 100.2757111389617, 0, 0, 100.2757111389617, 199, 262, 96, 94, 3
0.643, 0.0596204472481263, 0.0927223129830891, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8, 0.368127539782006, 2.8, 0, 0, 230, 103.0757111389617, 0, 0, 103.0757111389617, 137, 309, 62, 47, 3
0.693, 0.06524040743954805, 0.09414200207726989, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.6899999999999999, 0.258127539782006, 2.8, 0, 0, 230, 72.27571113896167, 0, 0, 72.27571113896167, 109, 343, 28, 34, 3
0.748, 0.07183775201208659, 0.09603977541722807, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.19, -0.241872460217994, 2.8, 0, 0, 230, -67.72428886103832, 0, 0, -67.72428886103832, 159, 326, 50, 17, 4
0.7970000000000001, 0.07721336610822914, 0.09688000766402652, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.07000000000000001, -0.361872460217994, 2.8, 0, 0, 230, -101.3242888610383, 0, 0, -101.3242888610383, 172, 270, 13, 56, 4
0.848, 0.08283332629965088, 0.09768080931562604, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.8, 0, 0, 230, -98.52428886103834, 0, 0, -98.52428886103834, 252, 210, 80, 60, 4
0.8960000000000001, 0.08747590210995581, 0.09762935503343282, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.8, 0, 0, 230, -98.52428886103834, 0, 0, -98.52428886103834, 324, 120, 72, 90, 4
0.9459999999999999, 0.09382890058721516, 0.09918488434166507, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.1, -0.3318724602179941, 2.8, 0, 0, 230, -92.92428886103833, 0, 0, -92.92428886103833, 353, 142, 29, 22, 4
1.002, 0.09993755296919531, 0.09973807681556417, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.34, -0.09187246021799403, 2.8, 0, 0, 230, -25.72428886103833, 0, 0, -25.72428886103833, 332, 131, 21, 11, 4
1.058, 0.1062905514464547, 0.10046365921215, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.74, 0.308127539782006, 2.8, 0, 0, 230, 86.27571113896167, 0, 0, 86.27571113896167, 281, 173, 51, 42, 5
1.108, 0.1116661655425972, 0.1007817378543296, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8699999999999999, 0.438127539782006, 2.8, 0, 0, 230, 122.6757111389617, 0, 0, 122.6757111389617, 221, 231, 60, 58, 5
1.157, 0.1175304718292981, 0.1015820845542767, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.85, 0.418127539782006, 2.8, 0, 0, 230, 117.0757111389617, 0, 0, 117.0757111389617, 161, 298, 60, 67, 5
1.206, 0.1229060859254407, 0.1019121773842792, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8, 0.368127539782006, 2.8, 0, 0, 230, 103.0757111389617, 0, 0, 103.0757111389617, 92, 358, 69, 60, 5
1.256, 0.1285260461168624, 0.1023296545516421, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.55, 0.118127539782006, 2.8, 0, 0, 230, 33.07571113896167, 0, 0, 33.07571113896167, 116, 348, 24, 10, 5
1.311, 0.1346346984988426, 0.10269618497242, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.11, -0.321872460217994, 2.8, 0, 0, 230, -90.12428886103832, 0, 0, -90.12428886103832, 160, 316, 44, 32, 6
1.363, 0.1404990047855436, 0.1030807078397238, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.8, 0, 0, 230, -98.52428886103834, 0, 0, -98.52428886103834, 210, 223, 50, 93, 6
1.407, 0.1453859266911277, 0.1033304383021519, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.8, 0, 0, 230, -98.52428886103834, 0, 0, -98.52428886103834, 290, 148, 80, 75, 6
1.456, 0.150517194691991, 0.1033771941565872, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.8, 0, 0, 230, -98.52428886103834, 0, 0, -98.52428886103834, 338, 121, 48, 27, 6
1.506, 0.1566258470739711, 0.1040012264767405, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.12, -0.311872460217994, 2.8, 0, 0, 230, -87.32428886103833, 0, 0, -87.32428886103833, 337, 132, 1, 11, 6
1.559, 0.1624901533606721, 0.1042271670049212, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.36, -0.07187246021799404, 2.8, 0, 0, 230, -20.12428886103833, 0, 0, -20.12428886103833, 328, 150, 9, 18, 6
1.612, 0.1681101135520938, 0.1042866709380235, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.67, 0.238127539782006, 2.8, 0, 0, 230, 66.67571113896168, 0, 0, 66.67571113896168, 282, 162, 46, 12, 7
1.657, 0.1734857276482364, 0.1046986889850551, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.79, 0.3581275397820059, 2.8, 0, 0, 230, 100.2757111389617, 0, 0, 100.2757111389617, 219, 242, 63, 80, 7
1.705, 0.1788613417443789, 0.1049040127533014, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8, 0.368127539782006, 2.8, 0, 0, 230, 103.0757111389617, 0, 0, 103.0757111389617, 156, 302, 63, 60, 7
1.753, 0.1842369558405214, 0.1050980923220316, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.7800000000000001, 0.348127539782006, 2.8, 0, 0, 230, 97.47571113896168, 0, 0, 97.47571113896168, 124, 328, 32, 26, 7
1.807, 0.1903456082225016, 0.105337912685391, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.4699999999999999, 0.03812753978200597, 2.8, 0, 0, 230, 10.67571113896167, 0, 0, 10.67571113896167, 131, 340, 7, 12, 7
1.875, 0.197920337176157, 0.1055575131606171, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 2.8, 0, 0, 230, -95.72428886103832, 0, 0, -95.72428886103832, 179, 288, 48, 52, 8
1.924, 0.2030516051770203, 0.1055361773269336, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.8, 0, 0, 230, -98.52428886103834, 0, 0, -98.52428886103834, 234, 186, 55, 102, 8
1.968, 0.2079385270826045, 0.1056598206720551, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.8, 0, 0, 230, -98.52428886103834, 0, 0, -98.52428886103834, 311, 155, 77, 31, 8
2.015, 0.213314141178747, 0.1058630973591796, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.1, -0.3318724602179941, 2.8, 0, 0, 230, -92.92428886103833, 0, 0, -92.92428886103833, 347, 122, 36, 33, 8
2.07, 0.2196671396560063, 0.1061193911381673, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.43, -0.001872460217994032, 2.8, 0, 0, 230, -0.5242888610383289, 0, 0, -0.5242888610383289, 322, 144, 25, 22, 8
