Tempo (s), Distância (m), Vel. Média (m/s), Preto (%), Branco (%), Limite (%), Refletância (%), Erro (%), Ganho Proporcional ((°/s)/%), Ganho Integral ((°/s)/%), Ganho Derivativo ((°/s)/%), Vel. Base (°/s), Correção P (°/s), Correção I (°/s), Correção D (°/s), Correção (°/s), Vel. Angular Esq. (°/s), Vel. Angular Dir. (°/s), Suavidade Esq. (°/s), Suavidade Dir. (°/s), Oscilação
0.011, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.16, -0.271872460217994, 2.5, 0, 0, 200, -67.96811505449852, 0, 0, -67.96811505449852, 0, 0, 0, 0, 0
0.067, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8100000000000001, 0.378127539782006, 2.5, 0, 0, 200, 94.53188494550149, 0, 0, 94.53188494550149, 0, 0, 0, 0, 1
0.112, 0.002199114857512855, 0.01963495408493621, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8199999999999999, 0.388127539782006, 2.5, 0, 0, 200, 97.03188494550149, 0, 0, 97.03188494550149, 83, 88, 83, 88, 1
0.16, 0.005619960191421741, 0.03512475119638587, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8, 0.368127539782006, 2.5, 0, 0, 200, 92.03188494550149, 0, 0, 92.03188494550149, 125, 180, 42, 92, 1
0.207, 0.009285151620609833, 0.04485580493048228, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.74, 0.308127539782006, 2.5, 0, 0, 200, 77.03188494550149, 0, 0, 77.03188494550149, 95, 255, 30, 75, 1
0.266, 0.01563815009786919, 0.05879003796191427, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.39, -0.04187246021799403, 2.5, 0, 0, 200, -10.46811505449851, 0, 0, -10.46811505449851, 141, 310, 46, 55, 2
0.312, 0.02028072590817411, 0.06500232662876316, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.12, -0.311872460217994, 2.5, 0, 0, 200, -77.96811505449852, 0, 0, -77.96811505449852, 124, 255, 17, 55, 2
0.361, 0.02516764781375823, 0.06971647593838846, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.5, 0, 0, 200, -87.96811505449851, 0, 0, -87.96811505449851, 222, 171, 98, 84, 2
0.412, 0.02981022362406315, 0.07235491170889113, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 2.5, 0, 0, 200, -87.96811505449851, 0, 0, -87.96811505449851, 292, 92, 70, 79, 2
0.461, 0.03445279943436807, 0.0747349228511238, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.12, -0.311872460217994, 2.5, 0, 0, 200, -77.96811505449852, 0, 0, -77.96811505449852, 289, 113, 3, 21, 2
