Tempo (s), Distância (m), Vel. Média (m/s), Preto (%), Branco (%), Limite (%), Refletância (%), Erro (%), Ganho Proporcional ((°/s)/%), Ganho Integral ((°/s)/%), Ganho Derivativo ((°/s)/%), Vel. Base (°/s), Correção P (°/s), Correção I (°/s), Correção D (°/s), Correção (°/s), Vel. Angular Esq. (°/s), Vel. Angular Dir. (°/s), Suavidade Esq. (°/s), Suavidade Dir. (°/s), Oscilação
0.009, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.2, -0.2318724602179941, 2.3, 0, 0, 200, -53.33066585013863, 0, 0, -53.33066585013863, 0, 0, 0, 0, 0
0.051, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8199999999999999, 0.388127539782006, 2.3, 0, 0, 200, 89.26933414986136, 0, 0, 89.26933414986136, 0, 0, 0, 0, 1
0.1, 0.001710422666954443, 0.01710422666954443, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8199999999999999, 0.388127539782006, 2.3, 0, 0, 200, 89.26933414986136, 0, 0, 89.26933414986136, 92, 97, 92, 97, 1
0.146, 0.004886921905584122, 0.03347206784646659, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8299999999999999, 0.398127539782006, 2.3, 0, 0, 200, 91.56933414986137, 0, 0, 91.56933414986137, 135, 165, 43, 68, 1
0.192, 0.008307767239493009, 0.04326962103902609, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8199999999999999, 0.388127539782006, 2.3, 0, 0, 200, 89.26933414986136, 0, 0, 89.26933414986136, 88, 219, 47, 54, 1
0.241, 0.01343903524035634, 0.05576363170272339, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8, 0.368127539782006, 2.3, 0, 0, 200, 84.66933414986137, 0, 0, 84.66933414986137, 139, 314, 51, 95, 1
0.291, 0.01857030324121967, 0.06381547505573769, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.6800000000000001, 0.248127539782006, 2.3, 0, 0, 200, 57.06933414986137, 0, 0, 57.06933414986137, 113, 289, 26, 25, 1
0.346, 0.02370157124208299, 0.06850165098867917, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.27, -0.161872460217994, 2.3, 0, 0, 200, -37.23066585013862, 0, 0, -37.23066585013862, 127, 272, 14, 17, 2
0.396, 0.02907718533822553, 0.07342723570258971, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.11, -0.321872460217994, 2.3, 0, 0, 200, -74.03066585013862, 0, 0, -74.03066585013862, 178, 220, 51, 52, 2
0.446, 0.03371976114853044, 0.07560484562450773, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 2.3, 0, 0, 200, -78.63066585013863, 0, 0, -78.63066585013863, 239, 151, 61, 69, 2
