Tempo (s), Distância (m), Refletância (%), Erro (%), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.045, 0.0, 0.75, 0.3360703889784571, 0, 0, 0.0, 0, 0
0.138, 0.001710422666954443, 0.76, 0.3460703889784571, 39, 123, 1.239436715184379e-05, 0, 112
0.237, 0.00757472895365539, 0.77, 0.3560703889784571, 60, 209, 3.196088166099321e-05, 0, 153
0.335, 0.01368338133563554, 0.3, 0.1139296110215429, 43, 189, 4.084591443473297e-05, 1, 31
0.44, 0.02028072590817411, 0.07000000000000001, 0.3439296110215429, 184, 79, 4.609255888221389e-05, 1, 239
0.536, 0.02565634000431665, 0.1, 0.3139296110215429, 189, 58, 4.78663059782027e-05, 1, 38
0.636, 0.03225368457685521, 0.4699999999999999, 0.05607038897845712, 212, 44, 5.071334052964654e-05, 2, 40
0.7359999999999999, 0.03836233695883537, 0.7, 0.2860703889784571, 98, 158, 5.212274043320022e-05, 2, 225
0.834, 0.0439822971502571, 0.45, 0.03607038897845711, 34, 171, 5.273656732644737e-05, 2, 83
0.9350000000000001, 0.05033529562751646, 0.06, 0.3539296110215429, 46, 212, 5.383454077809247e-05, 3, 53
1.032, 0.0561996019142174, 0.06, 0.3539296110215429, 168, 83, 5.445697859904786e-05, 3, 237
1.128, 0.06181956210563914, 0.06, 0.3539296110215429, 181, 68, 5.480457633478647e-05, 3, 39
1.224, 0.06792821448761933, 0.1, 0.3139296110215429, 212, 40, 5.549690726112689e-05, 3, 62
1.326, 0.07379252077432024, 0.45, 0.03607038897845711, 189, 47, 5.565046815559596e-05, 4, 32
1.421, 0.0799011731563004, 0.77, 0.3560703889784571, 90, 166, 5.622883402976806e-05, 4, 211
1.518, 0.08576547944300135, 0.74, 0.3260703889784571, 54, 178, 5.649899831554767e-05, 4, 56
1.617, 0.09187413182498151, 0.2, 0.2139296110215429, 51, 212, 5.681764491340848e-05, 5, 34
1.714, 0.09798278420696168, 0.07000000000000001, 0.3439296110215429, 156, 91, 5.716615181269642e-05, 5, 218
1.809, 0.1033583983031042, 0.1, 0.3139296110215429, 185, 49, 5.713565412001338e-05, 5, 80
1.909, 0.1094670506850844, 0.49, 0.07607038897845713, 206, 49, 5.734261429286765e-05, 6, 20
2.009, 0.1160643952576229, 0.8100000000000001, 0.3960703889784572, 81, 188, 5.777222262699e-05, 6, 260
2.107, 0.1214400093537654, 0.63, 0.2160703889784571, 49, 164, 5.763645436818483e-05, 6, 55
2.205, 0.1277930078310248, 0.14, 0.2739296110215429, 49, 217, 5.795601262177995e-05, 7, 58
2.3, 0.1336573141177257, 0.07000000000000001, 0.3439296110215429, 172, 93, 5.811187570335901e-05, 7, 244
