Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.015, 0.0, 0.08, -0.3339296110215429, -80.1431066451703, 0, 0, 0.0, 0, 0
0.04699999999999999, 0.0, 0.43, 0.01607038897845712, 3.856893354829708, 0, 0, 0.0, 1, 0
0.08899999999999999, 0.0009773843811168245, 0.43, 0.01607038897845712, 3.856893354829708, 17, 33, 1.098184697884072e-05, 1, 50
0.127, 0.003420845333908886, 0.43, 0.01607038897845712, 3.856893354829708, 136, 149, 2.693579003077863e-05, 1, 226
0.168, 0.006841690667817772, 0.45, 0.03607038897845711, 8.656893354829707, 167, 186, 4.072434921320101e-05, 1, 73
0.205, 0.01050688209700586, 0.42, 0.006070388978457117, 1.456893354829708, 209, 199, 5.125308340002861e-05, 1, 51
0.247, 0.01490511181203158, 0.43, 0.01607038897845712, 3.856893354829708, 227, 236, 6.034458223494564e-05, 1, 63
0.287, 0.01930334152705728, 0.43, 0.01607038897845712, 3.856893354829708, 210, 219, 6.725902971100099e-05, 1, 28
0.327, 0.02321287905152459, 0.41, -0.003929611021542883, -0.9431066451702918, 186, 172, 7.098739771108436e-05, 2, 73
0.368, 0.02663372438543346, 0.4, -0.01392961102154288, -3.343106645170292, 179, 196, 7.237425104737355e-05, 2, 30
0.408, 0.03078760800517997, 0.38, -0.03392961102154288, -8.143106645170292, 196, 200, 7.545982354210778e-05, 2, 31
0.447, 0.03445279943436807, 0.36, -0.05392961102154288, -12.94310664517029, 215, 195, 7.707561394713213e-05, 2, 29
0.4859999999999999, 0.03860668305411457, 0.37, -0.04392961102154288, -10.54310664517029, 221, 190, 7.943761945291064e-05, 2, 15
0.527, 0.04251622057858187, 0.41, -0.003929611021542883, -0.9431066451702918, 214, 185, 8.067594037681568e-05, 2, 14
0.567, 0.04642575810304917, 0.45, 0.03607038897845711, 8.656893354829707, 196, 181, 8.187964392072164e-05, 3, 18
0.604, 0.04984660343695805, 0.48, 0.06607038897845712, 15.85689335482971, 190, 201, 8.25274891340365e-05, 3, 24
0.646, 0.05375614096142534, 0.4699999999999999, 0.05607038897845712, 13.45689335482971, 187, 213, 8.321384049756247e-05, 3, 19
0.6870000000000001, 0.05791002458117185, 0.41, -0.003929611021542883, -0.9431066451702918, 194, 215, 8.429406780374359e-05, 4, 8
0.719, 0.06108652381980153, 0.36, -0.05392961102154288, -12.94310664517029, 183, 217, 8.496039474242213e-05, 4, 12
0.759, 0.06499606134426884, 0.3, -0.1139296110215429, -27.34310664517029, 203, 190, 8.563380941273891e-05, 4, 38
0.799, 0.06890559886873614, 0.29, -0.1239296110215429, -29.74310664517029, 232, 179, 8.623979833383746e-05, 4, 49
0.8390000000000001, 0.07281513639320342, 0.37, -0.04392961102154288, -10.54310664517029, 229, 169, 8.678800523623769e-05, 4, 10
0.8779999999999999, 0.07648032782239151, 0.4600000000000001, 0.04607038897845712, 11.05689335482971, 216, 176, 8.710743487743908e-05, 5, 13
0.9200000000000001, 0.08063421144213802, 0.52, 0.1060703889784571, 25.45689335482971, 209, 203, 8.764588200232394e-05, 5, 37
0.959, 0.08429940287132611, 0.58, 0.1660703889784571, 39.85689335482971, 165, 216, 8.790344407854654e-05, 5, 55
0.9970000000000001, 0.08796459430051421, 0.49, 0.07607038897845713, 18.25689335482971, 163, 234, 8.822928214695509e-05, 5, 25
1.038, 0.09236282401553993, 0.39, -0.02392961102154288, -5.743106645170291, 177, 234, 8.898152602653171e-05, 6, 16
1.075, 0.09602801544472801, 0.3, -0.1139296110215429, -27.34310664517029, 197, 211, 8.932838646021208e-05, 6, 28
1.12, 0.1001818990644745, 0.22, -0.1939296110215429, -46.5431066451703, 225, 166, 8.944812416470938e-05, 6, 88
1.155, 0.1033583983031042, 0.24, -0.1739296110215429, -41.74310664517029, 232, 157, 8.948779073861834e-05, 6, 16
1.197, 0.1077566280181299, 0.35, -0.06392961102154287, -15.34310664517029, 238, 157, 9.002224562918123e-05, 6, 8
1.235, 0.111421819447318, 0.5300000000000001, 0.1160703889784571, 27.85689335482971, 241, 186, 9.022009671847609e-05, 7, 24
1.287, 0.1165530874481813, 0.64, 0.2260703889784571, 54.25689335482971, 180, 207, 9.05618395090764e-05, 7, 83
1.319, 0.1194852405915318, 0.62, 0.2060703889784571, 49.45689335482971, 148, 229, 9.058774874263214e-05, 7, 59
1.359, 0.1233947781159991, 0.5600000000000001, 0.1460703889784571, 35.05689335482971, 144, 251, 9.079821789256741e-05, 7, 29
1.4, 0.1275486617357456, 0.38, -0.03392961102154288, -8.143106645170292, 160, 236, 9.1106186954104e-05, 8, 31
1.438, 0.1309695070696545, 0.23, -0.1839296110215429, -44.14310664517029, 188, 223, 9.107754316387656e-05, 8, 32
1.476, 0.1348790445941218, 0.18, -0.2339296110215429, -56.1431066451703, 222, 186, 9.138146652718278e-05, 8, 62
1.517, 0.1387885821185891, 0.18, -0.2339296110215429, -56.1431066451703, 247, 145, 9.148884780394798e-05, 8, 83
1.559, 0.1429424657383356, 0.28, -0.1339296110215429, -32.14310664517029, 258, 134, 9.168856044793817e-05, 8, 25
1.599, 0.1468520032628029, 0.49, 0.07607038897845713, 18.25689335482971, 249, 159, 9.183990197798806e-05, 9, 31
1.641, 0.1507615407872702, 0.65, 0.2360703889784571, 56.65689335482971, 220, 189, 9.187174941332735e-05, 9, 59
1.679, 0.1546710783117375, 0.74, 0.3260703889784571, 78.2568933548297, 168, 225, 9.212095194266677e-05, 9, 91
1.717, 0.1583362697409256, 0.71, 0.2960703889784571, 71.05689335482971, 131, 262, 9.2216814059945e-05, 9, 70
1.755, 0.1620014611701137, 0.5600000000000001, 0.1460703889784571, 35.05689335482971, 122, 279, 9.230852488325565e-05, 9, 35
1.799, 0.1663996908851394, 0.3, -0.1139296110215429, -27.34310664517029, 140, 258, 9.249565919129481e-05, 10, 42
1.834, 0.1698205362190483, 0.16, -0.2539296110215429, -60.94310664517029, 190, 227, 9.259571222412662e-05, 10, 74
1.872, 0.1732413815529572, 0.13, -0.2839296110215429, -68.1431066451703, 220, 143, 9.254347305179335e-05, 10, 108
1.917, 0.1773952651727036, 0.15, -0.2639296110215429, -63.34310664517029, 274, 135, 9.253795783656946e-05, 10, 69
1.955, 0.1817934948877294, 0.2, -0.2139296110215429, -51.34310664517029, 279, 157, 9.298899994257257e-05, 10, 38
1.998, 0.1859473785074759, 0.38, -0.03392961102154288, -8.143106645170292, 260, 140, 9.306675600974767e-05, 10, 36
2.039, 0.189612569936664, 0.5899999999999999, 0.1760703889784571, 42.25689335482971, 224, 155, 9.299292297040902e-05, 11, 45
2.078, 0.1935221074611313, 0.73, 0.3160703889784571, 75.85689335482972, 192, 208, 9.312902187734903e-05, 11, 85
2.117, 0.1971872988903193, 0.75, 0.3360703889784571, 80.6568933548297, 150, 258, 9.314468535206391e-05, 11, 92
2.158, 0.2010968364147866, 0.6899999999999999, 0.2760703889784571, 66.25689335482971, 122, 273, 9.318667118386774e-05, 11, 46
2.199, 0.2052507200345332, 0.51, 0.09607038897845712, 23.05689335482971, 121, 279, 9.333820829219334e-05, 11, 16
2.239, 0.2091602575590005, 0.23, -0.1839296110215429, -44.14310664517029, 159, 259, 9.341681891871392e-05, 12, 55
2.278, 0.2128254489881885, 0.14, -0.2739296110215429, -65.74310664517029, 184, 196, 9.342644819499057e-05, 12, 84
2.317, 0.2167349865126558, 0.12, -0.2939296110215428, -70.54310664517029, 235, 152, 9.354121127002841e-05, 12, 98
2.355, 0.2204001779418439, 0.15, -0.2639296110215429, -63.34310664517029, 289, 121, 9.358818596256643e-05, 12, 93
2.395, 0.2243097154663112, 0.25, -0.1639296110215429, -39.34310664517029, 255, 141, 9.36575012385433e-05, 12, 45
2.435, 0.2282192529907785, 0.49, 0.07607038897845713, 18.25689335482971, 259, 155, 9.372453921592546e-05, 13, 8
2.477, 0.2326174827058042, 0.62, 0.2060703889784571, 49.45689335482971, 233, 177, 9.391097404352211e-05, 13, 58
2.516, 0.2360383280397131, 0.7, 0.2860703889784571, 68.65689335482971, 165, 221, 9.381491575505288e-05, 13, 95
2.554, 0.2397035194689012, 0.67, 0.2560703889784572, 61.4568933548297, 126, 271, 9.385415797529413e-05, 13, 102
2.596, 0.2438574030886477, 0.51, 0.09607038897845712, 23.05689335482971, 133, 251, 9.393582553491822e-05, 13, 19
2.634, 0.2475225945178358, 0.36, -0.05392961102154288, -12.94310664517029, 157, 245, 9.397213155574633e-05, 14, 32
2.676, 0.2516764781375823, 0.23, -0.1839296110215429, -44.14310664517029, 194, 222, 9.404950603048666e-05, 14, 59
2.717, 0.256074707852608, 0.19, -0.2239296110215429, -53.74310664517029, 226, 174, 9.424906435502688e-05, 14, 78
2.757, 0.2597398992817961, 0.2, -0.2139296110215429, -51.34310664517029, 240, 155, 9.42110624888633e-05, 14, 36
2.797, 0.2636494368062634, 0.29, -0.1239296110215429, -29.74310664517029, 268, 140, 9.426150761754142e-05, 14, 42
2.838, 0.2678033204260099, 0.45, 0.03607038897845711, 8.656893354829707, 249, 163, 9.436339690838969e-05, 15, 36
2.875, 0.2712241657599188, 0.6, 0.1860703889784571, 44.65689335482971, 217, 189, 9.43388402643196e-05, 15, 52
2.918, 0.2756223954749446, 0.6800000000000001, 0.2660703889784571, 63.85689335482971, 171, 226, 9.445592716756154e-05, 15, 85
2.958, 0.2795319329994118, 0.64, 0.2260703889784571, 54.25689335482971, 129, 254, 9.450031541562266e-05, 15, 76
2.998, 0.2829527783333207, 0.51, 0.09607038897845712, 23.05689335482971, 133, 255, 9.438051311985349e-05, 15, 2
3.037, 0.2871066619530672, 0.29, -0.1239296110215429, -29.74310664517029, 168, 253, 9.453627328056214e-05, 16, 38
3.075, 0.2907718533822553, 0.15, -0.2639296110215429, -63.34310664517029, 203, 212, 9.455995231943263e-05, 16, 66
3.111, 0.2941926987161642, 0.13, -0.2839296110215429, -68.1431066451703, 233, 152, 9.456531620577444e-05, 16, 85
3.149, 0.2978578901453522, 0.15, -0.2639296110215429, -63.34310664517029, 257, 122, 9.458808832815249e-05, 16, 65
3.187, 0.3015230815745404, 0.27, -0.1439296110215429, -34.54310664517029, 265, 130, 9.46103174065078e-05, 16, 17
3.229, 0.3056769651942869, 0.5300000000000001, 0.1160703889784571, 27.85689335482971, 262, 157, 9.466613973189435e-05, 17, 30
3.275, 0.3103195410045918, 0.79, 0.3760703889784571, 90.25689335482971, 215, 191, 9.475405832201275e-05, 17, 65
3.314, 0.3142290785290591, 0.8299999999999999, 0.4160703889784571, 99.85689335482972, 149, 260, 9.481867185547951e-05, 17, 131
3.358, 0.3183829621488056, 0.6899999999999999, 0.2760703889784571, 66.25689335482971, 93, 283, 9.48132704433608e-05, 17, 96
3.4, 0.3222924996732728, 0.4, -0.01392961102154288, -3.343106645170292, 98, 291, 9.479191166860966e-05, 18, 18
3.441, 0.3264463832930194, 0.1, -0.3139296110215429, -75.34310664517029, 149, 254, 9.486962606597482e-05, 18, 88
3.479, 0.3301115747222075, 0.09, -0.3239296110215429, -77.74310664517029, 212, 207, 9.48869142633537e-05, 18, 107
3.519, 0.3337767661513956, 0.08, -0.3339296110215429, -80.1431066451703, 258, 135, 9.484989092111269e-05, 18, 125
3.559, 0.3374419575805836, 0.08, -0.3339296110215429, -80.1431066451703, 267, 98, 9.481369979785999e-05, 18, 46
3.594, 0.341351495105051, 0.08, -0.3339296110215429, -80.1431066451703, 297, 129, 9.497815667920172e-05, 18, 55
3.635, 0.3455053787247975, 0.08, -0.3339296110215429, -80.1431066451703, 287, 127, 9.504962275785349e-05, 18, 1
3.675, 0.3494149162492648, 0.11, -0.3039296110215429, -72.94310664517029, 284, 116, 9.507888877531013e-05, 18, 19
3.717, 0.3533244537737321, 0.13, -0.2839296110215429, -68.1431066451703, 264, 125, 9.505635022161206e-05, 18, 25
3.757, 0.3572339912981993, 0.19, -0.2239296110215429, -53.74310664517029, 263, 127, 9.508490585525667e-05, 18, 5
3.797, 0.3611435288226666, 0.26, -0.1539296110215429, -36.94310664517029, 257, 146, 9.51128598426828e-05, 18, 26
3.837, 0.3648087202518548, 0.36, -0.05392961102154288, -12.94310664517029, 247, 151, 9.507654945318082e-05, 18, 12
3.875, 0.368718257776322, 0.45, 0.03607038897845711, 8.656893354829707, 226, 174, 9.515309878098634e-05, 19, 41
3.919, 0.3731164874913477, 0.4, -0.01392961102154288, -3.343106645170292, 192, 201, 9.520706493782795e-05, 20, 63
3.959, 0.3767816789205359, 0.23, -0.1839296110215429, -44.14310664517029, 196, 204, 9.517092167732656e-05, 20, 9
3.995, 0.3804468703497239, 0.11, -0.3039296110215429, -72.94310664517029, 218, 192, 9.523075603247158e-05, 20, 26
4.038, 0.3846007539694704, 0.08, -0.3339296110215429, -80.1431066451703, 259, 141, 9.524535759521308e-05, 20, 94
4.075, 0.3882659453986585, 0.08, -0.3339296110215429, -80.1431066451703, 283, 111, 9.52799866008978e-05, 20, 58
4.117, 0.3921754829231258, 0.08, -0.3339296110215429, -80.1431066451703, 274, 114, 9.525758633061107e-05, 20, 13
4.155, 0.3960850204475932, 0.09, -0.3239296110215429, -77.74310664517029, 287, 120, 9.532732140736298e-05, 20, 21
4.197, 0.4002389040673396, 0.12, -0.2939296110215428, -70.54310664517029, 277, 122, 9.536309365435779e-05, 20, 12
