Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.038, 0.0, 0.7800000000000001, 0.3660703889784571, 84.19618946504514, 0, 0, 0.0, 0, 0
0.136, 0.001954768762233649, 0.79, 0.3760703889784571, 86.49618946504514, 126, 91, 1.437329972230624e-05, 0, 96
0.234, 0.01001818990644745, 0.8199999999999999, 0.4060703889784571, 93.39618946504514, 120, 242, 4.281277737798056e-05, 0, 260
0.33, 0.0200363798128949, 0.74, 0.3260703889784571, 74.99618946504514, 104, 310, 6.071630246331789e-05, 0, 87
0.43, 0.02956587752878395, 0.1, -0.3139296110215429, -72.20381053495486, 121, 247, 6.87578547181022e-05, 1, 82
0.533, 0.0398284135305106, 0.06, -0.3539296110215429, -81.40381053495487, 249, 160, 7.472497848125817e-05, 1, 207
0.631, 0.04911356515112043, 0.05, -0.3639296110215429, -83.70381053495485, 281, 124, 7.783449310795632e-05, 1, 75
0.733, 0.05913175505756789, 0.08, -0.3339296110215429, -76.80381053495487, 265, 111, 8.06708800239671e-05, 1, 26
0.8309999999999999, 0.06866125277345692, 0.6899999999999999, 0.2760703889784571, 63.49618946504513, 290, 116, 8.262485291631398e-05, 2, 28
0.9300000000000001, 0.07843509658462517, 0.8100000000000001, 0.3960703889784572, 91.09618946504513, 183, 249, 8.433881353185502e-05, 2, 224
1.032, 0.08820894039579342, 0.8100000000000001, 0.3960703889784572, 91.09618946504513, 101, 294, 8.547377945328819e-05, 2, 148
1.134, 0.09822713030224087, 0.1, -0.3139296110215429, -72.20381053495486, 108, 282, 8.662004435823711e-05, 3, 25
1.24, 0.1084896663039675, 0.07000000000000001, -0.3439296110215429, -79.10381053495486, 257, 159, 8.749166637416737e-05, 3, 261
1.333, 0.1170417796387397, 0.08, -0.3339296110215429, -76.80381053495487, 266, 116, 8.780328555044241e-05, 3, 59
1.434, 0.1273043156404664, 0.09, -0.3239296110215429, -74.50381053495486, 273, 119, 8.877567338944658e-05, 3, 17
1.533, 0.1368338133563554, 0.52, 0.1060703889784571, 24.39618946504514, 266, 136, 8.925884759057759e-05, 4, 22
1.63, 0.1463633110722445, 0.73, 0.3160703889784571, 72.69618946504514, 180, 234, 8.97934423756101e-05, 4, 171
1.735, 0.1561371548834127, 0.76, 0.3460703889784571, 79.59618946504513, 116, 271, 8.999259647458945e-05, 4, 116
1.834, 0.1663996908851394, 0.19, -0.2239296110215429, -51.50381053495487, 116, 295, 9.073047485558309e-05, 5, 26
1.936, 0.1761735346963076, 0.07000000000000001, -0.3439296110215429, -79.10381053495486, 239, 148, 9.099872659933245e-05, 5, 255
2.04, 0.1861917246027551, 0.21, -0.2039296110215429, -46.90381053495486, 286, 128, 9.127045323664465e-05, 5, 87
2.146, 0.1969429527950401, 0.75, 0.3360703889784571, 77.29618946504513, 236, 169, 9.177211220644928e-05, 6, 97
2.245, 0.20622810441565, 0.79, 0.3760703889784571, 86.49618946504514, 139, 263, 9.186107100919822e-05, 6, 184
2.345, 0.2160019482268182, 0.49, 0.07607038897845713, 17.49618946504514, 112, 303, 9.211170500077536e-05, 6, 74
2.444, 0.2257757920379865, 0.11, -0.3039296110215429, -69.90381053495486, 197, 195, 9.237962031014177e-05, 7, 193
2.543, 0.2353052897538755, 0.1, -0.3139296110215429, -72.20381053495486, 264, 128, 9.253058975771747e-05, 7, 131
2.643, 0.2453234796603229, 0.35, -0.06392961102154287, -14.70381053495486, 271, 126, 9.282008311022436e-05, 7, 11
2.742, 0.2546086312809328, 0.67, 0.2560703889784572, 58.89618946504513, 194, 202, 9.285508070055899e-05, 8, 158
2.842, 0.2646268211873802, 0.8, 0.3860703889784571, 88.79618946504513, 120, 259, 9.311288570984527e-05, 8, 114
2.952, 0.2753780493796653, 0.27, -0.1439296110215429, -33.10381053495486, 107, 294, 9.328524707983242e-05, 9, 59
3.05, 0.2849075470955544, 0.08, -0.3339296110215429, -76.80381053495487, 209, 169, 9.341231052313258e-05, 9, 224
3.145, 0.2941926987161642, 0.09, -0.3239296110215429, -74.50381053495486, 256, 114, 9.35429884630093e-05, 9, 105
3.246, 0.3039665425273324, 0.31, -0.1039296110215429, -23.90381053495486, 277, 125, 9.364342037194467e-05, 9, 32
3.35, 0.3139847324337799, 0.76, 0.3460703889784571, 79.59618946504513, 202, 194, 9.372678580112833e-05, 10, 143
3.446, 0.3235142301496689, 0.84, 0.4260703889784571, 97.99618946504514, 128, 276, 9.388108826165666e-05, 10, 151
3.545, 0.3332880739608371, 0.15, -0.2639296110215429, -60.70381053495487, 104, 313, 9.401638193535604e-05, 11, 67
3.643, 0.342573225581447, 0.08, -0.3339296110215429, -76.80381053495487, 197, 191, 9.403602129603266e-05, 11, 215
3.743, 0.3521027232973361, 0.08, -0.3339296110215429, -76.80381053495487, 282, 125, 9.40696562375998e-05, 11, 151
3.838, 0.361632221013225, 0.07000000000000001, -0.3439296110215429, -79.10381053495486, 278, 122, 9.422413262460266e-05, 11, 6
3.937, 0.3711617187291141, 0.07000000000000001, -0.3439296110215429, -79.10381053495486, 280, 112, 9.42752651077252e-05, 11, 12
4.035, 0.3806912164450031, 0.07000000000000001, -0.3439296110215429, -79.10381053495486, 267, 119, 9.434726553779507e-05, 11, 16
4.133, 0.3904650602561714, 0.08, -0.3339296110215429, -76.80381053495487, 292, 125, 9.447497223715736e-05, 11, 29
4.233, 0.3999945579720605, 0.08, -0.3339296110215429, -76.80381053495487, 276, 124, 9.449434395749126e-05, 11, 15
4.33, 0.4095240556879495, 0.08, -0.3339296110215429, -76.80381053495487, 279, 113, 9.457830385402991e-05, 11, 13
4.43, 0.4192978994991178, 0.09, -0.3239296110215429, -74.50381053495486, 275, 125, 9.464963871311912e-05, 11, 14
4.53, 0.4293160894055651, 0.08, -0.3339296110215429, -76.80381053495487, 277, 128, 9.477176366568766e-05, 11, 6
4.629, 0.438601241026175, 0.09, -0.3239296110215429, -74.50381053495486, 275, 120, 9.475075416422014e-05, 11, 9
4.727, 0.4483750848373433, 0.09, -0.3239296110215429, -74.50381053495486, 285, 131, 9.485404798759113e-05, 11, 21
4.83, 0.4583932747437907, 0.07000000000000001, -0.3439296110215429, -79.10381053495486, 270, 122, 9.490543990554672e-05, 11, 21
4.931, 0.4681671185549589, 0.08, -0.3339296110215429, -76.80381053495487, 273, 127, 9.494364602615269e-05, 11, 8
5.031, 0.4779409623661272, 0.08, -0.3339296110215429, -76.80381053495487, 285, 119, 9.49991974490414e-05, 11, 18
5.133, 0.4879591522725747, 0.08, -0.3339296110215429, -76.80381053495487, 266, 123, 9.506315064729684e-05, 11, 22
5.232, 0.4977329960837428, 0.08, -0.3339296110215429, -76.80381053495487, 276, 115, 9.513245337992027e-05, 11, 20
5.332, 0.5070181477043527, 0.07000000000000001, -0.3439296110215429, -79.10381053495486, 273, 114, 9.508967511334449e-05, 11, 4
5.431, 0.5170363376108002, 0.07000000000000001, -0.3439296110215429, -79.10381053495486, 271, 124, 9.520094597878847e-05, 11, 12
5.529, 0.5263214892314101, 0.08, -0.3339296110215429, -76.80381053495487, 285, 124, 9.519289007621813e-05, 11, 13
5.631, 0.5365840252331367, 0.09, -0.3239296110215429, -74.50381053495486, 269, 117, 9.529107178709584e-05, 11, 17
5.734, 0.5463578690443049, 0.19, -0.2239296110215429, -51.50381053495487, 276, 124, 9.528389763590948e-05, 11, 15
5.833, 0.5563760589507524, 0.36, -0.05392961102154288, -12.40381053495486, 245, 156, 9.538420348889979e-05, 11, 64
5.933, 0.5659055566666415, 0.5699999999999999, 0.1560703889784571, 35.89618946504514, 204, 204, 9.538269958986035e-05, 12, 89
6.03, 0.5751907082872513, 0.23, -0.1839296110215429, -42.30381053495487, 155, 249, 9.538817716206488e-05, 13, 94
6.132, 0.5854532442889779, 0.05, -0.3639296110215429, -83.70381053495485, 258, 144, 9.547508876206424e-05, 13, 206
6.229, 0.5944940498143087, 0.05, -0.3639296110215429, -83.70381053495485, 285, 110, 9.543972544779395e-05, 13, 59
6.33, 0.6047565858160352, 0.05, -0.3639296110215429, -83.70381053495485, 280, 122, 9.553816521580336e-05, 13, 9
6.429, 0.614041737436645, 0.1, -0.3139296110215429, -72.20381053495486, 272, 115, 9.551123618551019e-05, 13, 10
6.528, 0.6238155812478132, 0.29, -0.1239296110215429, -28.50381053495486, 283, 133, 9.555998487252042e-05, 13, 25
6.627, 0.6335894250589814, 0.31, -0.1039296110215429, -23.90381053495486, 201, 180, 9.560727705733838e-05, 13, 129
6.729, 0.6433632688701499, 0.41, -0.003929611021542883, -0.903810534954863, 214, 182, 9.56105318576534e-05, 13, 10
6.831, 0.6533814587765972, 0.52, 0.1060703889784571, 24.39618946504514, 193, 207, 9.564945963645107e-05, 14, 51
6.931, 0.6633996486830447, 0.67, 0.2560703889784572, 58.89618946504513, 163, 228, 9.571485336647594e-05, 14, 46
7.029, 0.6729291463989338, 0.77, 0.3560703889784571, 81.89618946504513, 133, 267, 9.573611415548923e-05, 14, 69
7.129, 0.6827029902101019, 0.79, 0.3760703889784571, 86.49618946504514, 111, 289, 9.57642011797029e-05, 14, 44
7.227, 0.692232487925991, 0.8199999999999999, 0.4060703889784571, 93.39618946504514, 111, 291, 9.578421031216148e-05, 14, 6
7.327, 0.70176198564188, 0.77, 0.3560703889784571, 81.89618946504513, 112, 309, 9.577753318437011e-05, 14, 14
7.428, 0.7117801755483275, 0.18, -0.2339296110215429, -53.80381053495486, 131, 274, 9.5823933164826e-05, 15, 54
7.53, 0.7215540193594957, 0.2, -0.2139296110215429, -49.20381053495486, 253, 158, 9.582390695345227e-05, 15, 201
7.627, 0.7305948248848263, 0.19, -0.2239296110215429, -51.50381053495487, 231, 155, 9.579058933851138e-05, 15, 26
7.729, 0.7411017069818323, 0.18, -0.2339296110215429, -53.80381053495486, 248, 150, 9.588584642021377e-05, 15, 34
7.831, 0.7508755507930005, 0.18, -0.2339296110215429, -53.80381053495486, 256, 145, 9.588501478648965e-05, 15, 15
7.934, 0.7611380867947272, 0.18, -0.2339296110215429, -53.80381053495486, 261, 149, 9.593371398975638e-05, 15, 9
8.032999999999999, 0.7706675845106162, 0.18, -0.2339296110215429, -53.80381053495486, 253, 150, 9.593770503057591e-05, 15, 9
8.137, 0.7804414283217843, 0.2, -0.2139296110215429, -49.20381053495486, 250, 145, 9.591267399800717e-05, 15, 9
8.233000000000001, 0.7902152721329526, 0.19, -0.2239296110215429, -51.50381053495487, 249, 155, 9.598144930559366e-05, 15, 14
8.327, 0.7995004237535625, 0.21, -0.2039296110215429, -46.90381053495486, 242, 146, 9.601302074619461e-05, 15, 11
8.426, 0.8090299214694515, 0.2, -0.2139296110215429, -49.20381053495486, 239, 150, 9.601589383686822e-05, 15, 8
8.523, 0.8183150730900614, 0.19, -0.2239296110215429, -51.50381053495487, 252, 161, 9.60125628405563e-05, 15, 18
8.622999999999999, 0.8280889169012296, 0.21, -0.2039296110215429, -46.90381053495486, 257, 151, 9.603257762973787e-05, 15, 20
8.722, 0.8378627607123978, 0.2, -0.2139296110215429, -49.20381053495486, 249, 150, 9.606314614909401e-05, 15, 9
8.821, 0.8473922584282867, 0.19, -0.2239296110215429, -51.50381053495487, 256, 146, 9.606532801590372e-05, 15, 12
8.922000000000001, 0.8574104483347343, 0.12, -0.2939296110215428, -67.60381053495486, 265, 143, 9.610070032893233e-05, 15, 11
9.018000000000001, 0.8664512538600649, 0.13, -0.2839296110215429, -65.30381053495486, 272, 125, 9.608020113773176e-05, 15, 24
9.115, 0.876225097671233, 0.19, -0.2239296110215429, -51.50381053495487, 274, 139, 9.613001620090326e-05, 15, 20
9.222, 0.886731979768239, 0.2, -0.2139296110215429, -49.20381053495486, 253, 153, 9.615397742010835e-05, 15, 37
9.321, 0.8962614774841279, 0.2, -0.2139296110215429, -49.20381053495486, 251, 154, 9.615507751143955e-05, 15, 3
9.419, 0.9057909752000171, 0.2, -0.2139296110215429, -49.20381053495486, 259, 134, 9.616636322327393e-05, 15, 20
9.513, 0.9148317807253477, 0.17, -0.2439296110215428, -56.10381053495487, 241, 157, 9.616648593770082e-05, 15, 35
9.611000000000001, 0.924605624536516, 0.18, -0.2339296110215429, -53.80381053495486, 258, 134, 9.620285345297221e-05, 15, 37
9.706, 0.9336464300618466, 0.22, -0.1939296110215429, -44.60381053495486, 247, 150, 9.619270864020674e-05, 15, 27
9.805, 0.9431759277777356, 0.63, 0.2160703889784571, 49.69618946504514, 217, 161, 9.619336336335907e-05, 16, 37
9.903, 0.953194117684183, 0.7800000000000001, 0.3660703889784571, 84.19618946504514, 180, 250, 9.625306651360022e-05, 16, 123
10.009, 0.9637009997811891, 0.05, -0.3639296110215429, -83.70381053495485, 106, 289, 9.628344487772893e-05, 17, 117
10.107, 0.9729861514017989, 0.02, -0.3939296110215429, -90.60381053495487, 238, 157, 9.626854174352419e-05, 17, 243
10.216, 0.983737379594084, 0.02, -0.3939296110215429, -90.60381053495487, 295, 121, 9.629379205110451e-05, 17, 114
10.312, 0.9932668773099728, 0.04, -0.3739296110215429, -86.00381053495486, 287, 110, 9.632145823409356e-05, 17, 18
10.411, 1.002796375025862, 0.07000000000000001, -0.3439296110215429, -79.10381053495486, 286, 118, 9.632085054517932e-05, 17, 12
