Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.04100000000000001, 0.0, 0.8, 0.3860703889784571, 82.61906324138982, 0, 0, 0.0, 0, 0
0.14, 0.001954768762233649, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 63, 50, 1.396263401595464e-05, 0, 127
0.242, 0.01075122819228507, 0.76, 0.3460703889784571, 74.05906324138982, 154, 291, 4.442656277803748e-05, 0, 302
0.347, 0.02174680247984935, 0.22, -0.1939296110215429, -41.50093675861018, 129, 278, 6.267090051829783e-05, 1, 24
0.449, 0.03225368457685521, 0.08, -0.3339296110215429, -71.46093675861017, 248, 156, 7.183448680814078e-05, 1, 228
0.549, 0.04227187448330266, 0.09, -0.3239296110215429, -69.32093675861019, 289, 142, 7.699794987851122e-05, 1, 68
0.648, 0.05277875658030853, 0.42, 0.006070388978457117, 1.299063241389823, 278, 148, 8.144869842640203e-05, 2, 18
0.748, 0.06279694648675598, 0.7800000000000001, 0.3660703889784571, 78.33906324138983, 194, 227, 8.395313701437964e-05, 2, 162
0.851, 0.07330382858376185, 0.7199999999999999, 0.3060703889784571, 65.49906324138984, 129, 299, 8.613845897034293e-05, 2, 134
0.9559999999999999, 0.08429940287132611, 0.16, -0.2539296110215429, -54.34093675861018, 152, 269, 8.817929170640808e-05, 3, 52
1.055, 0.09407324668249435, 0.08, -0.3339296110215429, -71.46093675861017, 241, 162, 8.916895420141644e-05, 3, 172
1.156, 0.1045801287795002, 0.13, -0.2839296110215429, -60.76093675861018, 288, 141, 9.046723942863341e-05, 3, 89
1.257, 0.1148426647812269, 0.6, 0.1860703889784571, 39.81906324138983, 246, 143, 9.136250181481854e-05, 4, 44
1.354, 0.1246165085923951, 0.8, 0.3860703889784571, 82.61906324138982, 174, 242, 9.203582613913969e-05, 4, 158
1.453, 0.1348790445941218, 0.6, 0.1860703889784571, 39.81906324138983, 120, 295, 9.282797287964334e-05, 4, 117
1.557, 0.1458746188816861, 0.12, -0.2939296110215428, -62.90093675861018, 181, 226, 9.368954327661276e-05, 5, 128
1.653, 0.1551597705022959, 0.09, -0.3239296110215429, -69.32093675861019, 249, 160, 9.386555989249599e-05, 5, 120
1.749, 0.1651779604087433, 0.19, -0.2239296110215429, -47.92093675861018, 286, 150, 9.444137244639414e-05, 5, 62
1.859, 0.1764178807915868, 0.6800000000000001, 0.2660703889784571, 56.93906324138982, 242, 163, 9.489934415900315e-05, 6, 58
1.956, 0.1864360706980343, 0.79, 0.3760703889784571, 80.47906324138983, 169, 265, 9.531496456954718e-05, 6, 166
2.059, 0.1971872988903193, 0.62, 0.2060703889784571, 44.09906324138983, 125, 300, 9.57684793056432e-05, 6, 89
2.163, 0.2076941809873252, 0.13, -0.2839296110215429, -60.76093675861018, 171, 237, 9.602135043334499e-05, 7, 109
2.258, 0.2172236787032143, 0.08, -0.3339296110215429, -71.46093675861017, 256, 162, 9.620180633446157e-05, 7, 156
2.357, 0.2274862147049409, 0.17, -0.2439296110215428, -52.20093675861019, 289, 144, 9.651515261134533e-05, 7, 59
2.455, 0.2377487507066676, 0.65, 0.2360703889784571, 50.51906324138983, 263, 166, 9.684266831228822e-05, 8, 50
2.556, 0.247766940613115, 0.79, 0.3760703889784571, 80.47906324138983, 158, 250, 9.693542277508412e-05, 8, 185
2.654, 0.2577851305195625, 0.67, 0.2560703889784572, 54.79906324138983, 133, 294, 9.713079522214111e-05, 8, 74
2.756, 0.2685363587118475, 0.13, -0.2839296110215429, -60.76093675861018, 155, 275, 9.743699517846427e-05, 9, 47
2.857, 0.2787988947135742, 0.08, -0.3339296110215429, -71.46093675861017, 250, 153, 9.758449237436967e-05, 9, 211
2.953, 0.2885727385247424, 0.18, -0.2339296110215429, -50.06093675861019, 297, 146, 9.772188910421349e-05, 9, 54
3.055, 0.2990796206217483, 0.61, 0.1960703889784571, 41.95906324138983, 232, 160, 9.78984028221762e-05, 10, 78
3.156, 0.309342156623475, 0.85, 0.4360703889784571, 93.31906324138982, 165, 266, 9.801715989336977e-05, 10, 168
3.256, 0.3196046926252016, 0.5899999999999999, 0.1760703889784571, 37.67906324138983, 111, 318, 9.815868938120444e-05, 10, 109
3.361, 0.3303559208174867, 0.1, -0.3139296110215429, -67.18093675861019, 177, 236, 9.82909612667321e-05, 11, 141
3.459, 0.3401297646286549, 0.08, -0.3339296110215429, -71.46093675861017, 250, 148, 9.833181978278546e-05, 11, 158
3.565, 0.3511253389162192, 0.18, -0.2339296110215429, -50.06093675861019, 286, 142, 9.849238118267019e-05, 11, 47
