Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.01, 0.0, 0.8199999999999999, 0.4060703889784571, 105.5783011343989, 0, 0, 0.0, 0, 0
0.04699999999999999, 0.0, 0.8299999999999999, 0.4160703889784571, 108.1783011343989, 0, 0, 0.0, 0, 0
0.08599999999999998, 0.0009773843811168245, 0.8299999999999999, 0.4160703889784571, 108.1783011343989, 15, 13, 1.136493466414912e-05, 0, 28
0.124, 0.003176499238629679, 0.8299999999999999, 0.4160703889784571, 108.1783011343989, 117, 147, 2.561692934378774e-05, 0, 226
0.165, 0.006108652381980153, 0.8199999999999999, 0.4060703889784571, 105.5783011343989, 96, 183, 3.702213564836457e-05, 0, 48
0.206, 0.009040805525330626, 0.8100000000000001, 0.3960703889784572, 102.9783011343989, 71, 242, 4.388740546277003e-05, 0, 79
0.247, 0.01343903524035634, 0.73, 0.3160703889784571, 82.17830113439886, 100, 328, 5.440904955609853e-05, 0, 116
0.291, 0.01783726495538205, 0.27, -0.1439296110215429, -37.42169886560115, 120, 318, 6.129644314564278e-05, 1, 23
0.331, 0.02223549467040776, 0.11, -0.3039296110215429, -79.02169886560116, 123, 266, 6.71767210586337e-05, 1, 57
0.37, 0.02565634000431665, 0.08, -0.3339296110215429, -86.82169886560116, 197, 209, 6.934145947112608e-05, 1, 113
0.41, 0.02956587752878395, 0.08, -0.3339296110215429, -86.82169886560116, 266, 151, 7.211189641166815e-05, 1, 148
0.45, 0.03323106895797204, 0.08, -0.3339296110215429, -86.82169886560116, 276, 78, 7.384681990660452e-05, 1, 93
0.49, 0.03714060648243933, 0.08, -0.3339296110215429, -86.82169886560116, 289, 108, 7.579715608661087e-05, 1, 41
0.533, 0.04129449010218583, 0.12, -0.2939296110215428, -76.42169886560116, 303, 128, 7.747559118608973e-05, 1, 37
0.576, 0.04569271981721155, 0.24, -0.1739296110215429, -45.22169886560115, 285, 117, 7.932763857154783e-05, 1, 28
0.617, 0.04984660343695805, 0.43, 0.01607038897845712, 4.178301134398851, 259, 132, 8.078866035163379e-05, 2, 34
0.656, 0.05351179486614615, 0.62, 0.2060703889784571, 53.57830113439885, 222, 194, 8.157285802766181e-05, 2, 100
0.6959999999999999, 0.05742133239061344, 0.7199999999999999, 0.3060703889784571, 79.57830113439886, 176, 230, 8.250191435432965e-05, 2, 83
0.731, 0.06084217772452232, 0.7, 0.2860703889784571, 74.37830113439886, 138, 257, 8.323143327568033e-05, 2, 62
