Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.04100000000000001, 0.0, 0.8199999999999999, 0.4060703889784571, 86.89906324138983, 0, 0, 0.0, 0, 0
0.14, 0.001954768762233649, 0.8299999999999999, 0.4160703889784571, 89.03906324138983, 20, 93, 1.396263401595464e-05, 0, 66
0.242, 0.01050688209700586, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 142, 294, 4.341686816944572e-05, 0, 360
0.34, 0.02101376419401173, 0.6800000000000001, 0.2660703889784571, 56.93906324138982, 128, 294, 6.180518880591684e-05, 0, 22
0.445, 0.032009338481576, 0.1, -0.3139296110215429, -67.18093675861019, 173, 247, 7.193109771140676e-05, 1, 89
0.545, 0.04178318229274424, 0.09, -0.3239296110215429, -69.32093675861019, 262, 146, 7.666638952797109e-05, 1, 168
0.652, 0.05302310267558773, 0.09, -0.3239296110215429, -69.32093675861019, 292, 134, 8.132377710979714e-05, 1, 64
0.755, 0.0632856386773144, 0.2, -0.2139296110215429, -45.78093675861019, 267, 137, 8.382203798319786e-05, 1, 26
0.856, 0.07379252077432024, 0.6899999999999999, 0.2760703889784571, 59.07906324138983, 254, 183, 8.620621585785077e-05, 2, 60
0.958, 0.08429940287132611, 0.8199999999999999, 0.4060703889784571, 86.89906324138983, 153, 278, 8.799520132706276e-05, 2, 187
1.057, 0.09407324668249435, 0.4600000000000001, 0.04607038897845712, 9.859063241389824, 122, 297, 8.900023337984329e-05, 2, 57
1.154, 0.104335782684221, 0.09, -0.3239296110215429, -69.32093675861019, 214, 206, 9.041229002098873e-05, 3, 174
1.256, 0.1145983186859477, 0.09, -0.3239296110215429, -69.32093675861019, 282, 143, 9.124069959072267e-05, 3, 133
1.357, 0.1248608546876743, 0.28, -0.1339296110215429, -28.66093675861018, 281, 146, 9.201242055097595e-05, 3, 0
1.467, 0.136345121165797, 0.74, 0.3260703889784571, 69.77906324138982, 232, 187, 9.294145955405387e-05, 4, 91
1.564, 0.1463633110722445, 0.79, 0.3760703889784571, 80.47906324138983, 141, 284, 9.358267971371131e-05, 4, 178
1.665, 0.1566258470739711, 0.42, 0.006070388978457117, 1.299063241389823, 137, 299, 9.406957782220488e-05, 4, 29
1.765, 0.1668883830756978, 0.1, -0.3139296110215429, -67.18093675861019, 228, 203, 9.455432468878062e-05, 5, 193
1.865, 0.1769065729821452, 0.1, -0.3139296110215429, -67.18093675861019, 283, 137, 9.485607130409932e-05, 5, 111
1.966, 0.1874134550791511, 0.43, 0.01607038897845712, 3.439063241389823, 281, 146, 9.53272914949904e-05, 6, 7
2.068, 0.197920337176157, 0.7800000000000001, 0.3660703889784571, 78.33906324138983, 193, 228, 9.570615917609137e-05, 6, 166
2.17, 0.2081828731778836, 0.77, 0.3560703889784571, 76.19906324138983, 125, 296, 9.593680791607541e-05, 6, 134
2.276, 0.2191784474654479, 0.24, -0.1739296110215429, -37.22093675861018, 132, 280, 9.629984510784178e-05, 7, 15
2.378, 0.2296853295624538, 0.09, -0.3239296110215429, -69.32093675861019, 240, 164, 9.65876070489713e-05, 7, 221
2.477, 0.239459173373622, 0.11, -0.3039296110215429, -65.04093675861019, 263, 131, 9.667306151539041e-05, 7, 58
2.574, 0.2497217093753487, 0.45, 0.03607038897845711, 7.719063241389824, 269, 150, 9.701698110930407e-05, 8, 27
2.671, 0.2597398992817961, 0.77, 0.3560703889784571, 76.19906324138983, 190, 230, 9.724444001564812e-05, 8, 157
2.774, 0.2697580891882436, 0.75, 0.3360703889784571, 71.91906324138983, 132, 309, 9.724516553289241e-05, 8, 135
