Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.04100000000000001, 0.0, 0.71, 0.2960703889784571, 63.35906324138983, 0, 0, 0.0, 0, 0
0.141, 0.002199114857512855, 0.71, 0.2960703889784571, 63.35906324138983, 84, 101, 1.559655927314082e-05, 0, 111
0.242, 0.01075122819228507, 0.64, 0.2260703889784571, 48.37906324138983, 113, 258, 4.442656277803748e-05, 0, 255
0.341, 0.02199114857512855, 0.17, -0.2439296110215428, -52.20093675861019, 162, 256, 6.449017177457054e-05, 1, 53
0.441, 0.0317649923862968, 0.09, -0.3239296110215429, -69.32093675861019, 270, 142, 7.202946119341678e-05, 1, 215
0.534, 0.04153883619746504, 0.21, -0.2039296110215429, -43.64093675861018, 295, 150, 7.778808276678847e-05, 1, 31
0.633, 0.05155702610391249, 0.64, 0.2260703889784571, 48.37906324138983, 228, 177, 8.144869842640205e-05, 2, 91
0.739, 0.06255260039147677, 0.8, 0.3860703889784571, 82.61906324138982, 148, 262, 8.464492610484001e-05, 2, 162
0.843, 0.07330382858376185, 0.41, -0.003929611021542883, -0.8409367586101769, 124, 303, 8.695590579331178e-05, 3, 67
0.948, 0.08381071068076771, 0.09, -0.3239296110215429, -69.32093675861019, 235, 194, 8.840792265903765e-05, 3, 212
1.051, 0.09407324668249435, 0.09, -0.3239296110215429, -69.32093675861019, 281, 125, 8.950832224785382e-05, 3, 117
1.153, 0.1048244748747794, 0.31, -0.1039296110215429, -22.24093675861018, 285, 135, 9.091454889399776e-05, 3, 17
1.252, 0.1148426647812269, 0.79, 0.3760703889784571, 80.47906324138983, 234, 207, 9.172736803612372e-05, 4, 122
1.352, 0.1248608546876743, 0.85, 0.4360703889784571, 93.31906324138982, 137, 298, 9.235270317135676e-05, 4, 183
1.451, 0.1353677367846802, 0.23, -0.1839296110215429, -39.36093675861018, 124, 307, 9.329272004457628e-05, 5, 28
1.553, 0.1458746188816861, 0.08, -0.3339296110215429, -71.46093675861017, 230, 172, 9.393085568685516e-05, 5, 228
1.654, 0.1558928087881335, 0.1, -0.3139296110215429, -67.18093675861019, 285, 147, 9.425200047650151e-05, 5, 93
1.753, 0.1661553447898602, 0.4600000000000001, 0.04607038897845712, 9.859063241389824, 277, 147, 9.478342543631499e-05, 6, 9
1.853, 0.1761735346963076, 0.76, 0.3460703889784571, 74.05906324138982, 183, 236, 9.507476238332845e-05, 6, 181
1.954, 0.1866804167933135, 0.71, 0.2960703889784571, 63.35906324138983, 129, 302, 9.55375725656671e-05, 6, 124
2.071, 0.1988977215572738, 0.15, -0.2639296110215429, -56.48093675861018, 160, 272, 9.603945995039778e-05, 7, 61
2.169, 0.208671565368442, 0.08, -0.3339296110215429, -71.46093675861017, 255, 168, 9.62063464123753e-05, 7, 172
2.272, 0.2191784474654479, 0.11, -0.3039296110215429, -65.04093675861019, 285, 141, 9.646938708866546e-05, 7, 86
2.382, 0.2304183678482914, 0.5300000000000001, 0.1160703889784571, 24.83906324138982, 279, 148, 9.673315190944221e-05, 8, 19
2.479, 0.240680903850018, 0.77, 0.3560703889784571, 76.19906324138983, 179, 240, 9.708789989916017e-05, 8, 186
2.575, 0.2502104015659071, 0.77, 0.3560703889784571, 76.19906324138983, 121, 285, 9.716908798676004e-05, 8, 96
2.678, 0.260717283662913, 0.33, -0.08392961102154288, -17.96093675861018, 131, 292, 9.735522168144621e-05, 9, 23
2.778, 0.2709798196646396, 0.08, -0.3339296110215429, -71.46093675861017, 230, 173, 9.754493148475147e-05, 9, 206
2.873, 0.2807536634758079, 0.11, -0.3039296110215429, -65.04093675861019, 289, 133, 9.772142828952587e-05, 9, 103
2.97, 0.2907718533822553, 0.45, 0.03607038897845711, 7.719063241389824, 286, 150, 9.790298093678631e-05, 10, 20
3.072, 0.3012787354792612, 0.7800000000000001, 0.3660703889784571, 78.33906324138983, 204, 244, 9.807250503882198e-05, 10, 168
3.171, 0.3110525792904294, 0.79, 0.3760703889784571, 80.47906324138983, 136, 298, 9.809289791561948e-05, 10, 125
3.274, 0.3220481535779936, 0.2, -0.2139296110215429, -45.78093675861019, 122, 281, 9.836534929077388e-05, 11, 31
3.374, 0.3320663434844411, 0.08, -0.3339296110215429, -71.46093675861017, 247, 164, 9.841918894026115e-05, 11, 237
3.476, 0.342573225581447, 0.1, -0.3139296110215429, -67.18093675861019, 301, 142, 9.855386236520339e-05, 11, 78
3.583, 0.3535687998690113, 0.44, 0.02607038897845712, 5.579063241389823, 268, 138, 9.867954224644468e-05, 12, 36
3.681, 0.3638313358707379, 0.79, 0.3760703889784571, 80.47906324138983, 195, 229, 9.884035204312358e-05, 12, 160
3.779, 0.3736051796819061, 0.74, 0.3260703889784571, 69.77906324138982, 121, 299, 9.886350348819956e-05, 12, 128
3.881, 0.384112061778912, 0.18, -0.2339296110215429, -50.06093675861019, 150, 289, 9.897244570443494e-05, 13, 21
3.979, 0.3941302516853594, 0.08, -0.3339296110215429, -71.46093675861017, 237, 162, 9.905258901366158e-05, 13, 202
4.072, 0.4034154033059693, 0.09, -0.3239296110215429, -69.32093675861019, 278, 140, 9.907058037965848e-05, 13, 71
4.169, 0.4134335932124168, 0.41, -0.003929611021542883, -0.8409367586101769, 280, 141, 9.916852799530266e-05, 13, 7
4.271, 0.4239404753094226, 0.75, 0.3360703889784571, 71.91906324138983, 183, 227, 9.92602377217098e-05, 14, 183
4.369, 0.4337143191205909, 0.8, 0.3860703889784571, 82.61906324138982, 129, 276, 9.927084438557813e-05, 14, 91
4.472, 0.4449542395034344, 0.45, 0.03607038897845711, 7.719063241389824, 135, 304, 9.94978174202671e-05, 14, 34
4.577, 0.455216775505161, 0.12, -0.2939296110215428, -62.90093675861018, 232, 206, 9.945745586741555e-05, 15, 188
4.675, 0.4649906193163293, 0.1, -0.3139296110215429, -67.18093675861019, 258, 136, 9.946323407835919e-05, 15, 89
4.782, 0.476474885794452, 0.33, -0.08392961102154288, -17.96093675861018, 285, 140, 9.963924838863488e-05, 15, 43
4.891, 0.4874704600820162, 0.74, 0.3260703889784571, 69.77906324138982, 199, 198, 9.966682888612068e-05, 16, 145
4.992, 0.4977329960837428, 0.7800000000000001, 0.3660703889784571, 78.33906324138983, 144, 287, 9.970612902318566e-05, 16, 131
5.103, 0.5092172625618655, 0.31, -0.1039296110215429, -22.24093675861018, 130, 287, 9.978782335133559e-05, 17, 21
5.209, 0.5202128368494298, 0.09, -0.3239296110215429, -69.32093675861019, 248, 183, 9.986808156065077e-05, 17, 214
5.305, 0.5297423345653188, 0.07000000000000001, -0.3439296110215429, -73.60093675861018, 293, 143, 9.985717899440505e-05, 17, 87
5.403, 0.5397605244717663, 0.39, -0.02392961102154288, -5.120936758610177, 278, 136, 9.990015259518163e-05, 17, 26
