Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.038, 0.0, 0.74, 0.3260703889784571, 65.21407779569143, 0, 0, 0.0, 0, 0
0.139, 0.002199114857512855, 0.7800000000000001, 0.3660703889784571, 73.21407779569142, 87, 131, 1.582097019793421e-05, 0, 150
0.239, 0.01123992038284348, 0.8100000000000001, 0.3960703889784572, 79.21407779569143, 136, 297, 4.702895557675096e-05, 0, 272
0.336, 0.02076941809873252, 0.8, 0.3860703889784571, 77.21407779569143, 118, 266, 6.181374434146583e-05, 0, 41
0.437, 0.03078760800517997, 0.21, -0.2039296110215429, -40.78592220430858, 122, 268, 7.04521922315331e-05, 1, 9
0.54, 0.04056145181634822, 0.05, -0.3639296110215429, -72.78592220430858, 258, 156, 7.511379965990411e-05, 1, 237
0.641, 0.05033529562751646, 0.06, -0.3539296110215429, -70.78592220430858, 275, 122, 7.852620222701475e-05, 1, 58
0.737, 0.05986479334340551, 0.09, -0.3239296110215429, -64.78592220430858, 265, 129, 8.122767075088943e-05, 1, 10
0.8390000000000001, 0.06963863715457375, 0.6, 0.1860703889784571, 37.21407779569143, 262, 132, 8.300195131653606e-05, 2, 8
0.9549999999999999, 0.08112290363269643, 0.7800000000000001, 0.3660703889784571, 73.21407779569142, 151, 253, 8.494544883004862e-05, 2, 230
1.06, 0.09138543963442309, 0.4600000000000001, 0.04607038897845712, 9.214077795691423, 114, 279, 8.621267890039915e-05, 2, 65
1.162, 0.1011592834455913, 0.08, -0.3339296110215429, -66.78592220430858, 204, 216, 8.705618196694605e-05, 3, 155
1.267, 0.1111774733520388, 0.08, -0.3339296110215429, -66.78592220430858, 269, 121, 8.774859775220108e-05, 3, 158
1.369, 0.1211956632584863, 0.26, -0.1539296110215429, -30.78592220430858, 267, 128, 8.852860720123171e-05, 3, 16
1.467, 0.1307251609743753, 0.6800000000000001, 0.2660703889784571, 53.21407779569142, 231, 182, 8.911053917816993e-05, 4, 85
1.562, 0.1400103125949851, 0.74, 0.3260703889784571, 65.21407779569143, 147, 263, 8.963528335146293e-05, 4, 159
1.664, 0.1497841564061534, 0.37, -0.04392961102154288, -8.785922204308577, 124, 272, 9.001451707100562e-05, 5, 33
1.761, 0.1595580002173216, 0.11, -0.3039296110215429, -60.78592220430858, 216, 167, 9.060647371795662e-05, 5, 186
1.864, 0.1693318440284899, 0.12, -0.2939296110215428, -58.78592220430858, 283, 131, 9.084326396378211e-05, 5, 107
1.967, 0.1795943800302165, 0.6, 0.1860703889784571, 37.21407779569143, 254, 151, 9.130370108297736e-05, 6, 45
2.068, 0.189612569936664, 0.79, 0.3760703889784571, 75.21407779569143, 156, 255, 9.168886360573692e-05, 6, 193
2.166, 0.199142067652553, 0.62, 0.2060703889784571, 41.21407779569142, 122, 288, 9.194001276664496e-05, 6, 72
