Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.042, 0.0, 0.8100000000000001, 0.3960703889784572, 87.13548557526059, 0, 0, 0.0, 0, 0
0.14, 0.001954768762233649, 0.8100000000000001, 0.3960703889784572, 87.13548557526059, 88, 56, 1.396263401595464e-05, 0, 131
0.24, 0.009773843811168245, 0.84, 0.4260703889784571, 93.73548557526057, 92, 261, 4.072434921320101e-05, 0, 212
0.338, 0.02028072590817411, 0.65, 0.2360703889784571, 51.93548557526057, 88, 307, 6.000214765731985e-05, 0, 59
0.44, 0.03005456971934235, 0.07000000000000001, -0.3439296110215429, -75.66451442473944, 166, 240, 6.830584027123264e-05, 1, 153
0.536, 0.03933972133995219, 0.06, -0.3539296110215429, -77.86451442473944, 243, 156, 7.339500249991081e-05, 1, 146
0.635, 0.04911356515112043, 0.07000000000000001, -0.3439296110215429, -75.66451442473944, 287, 124, 7.734419708837864e-05, 1, 92
0.737, 0.05913175505756789, 0.1, -0.3139296110215429, -69.06451442473944, 266, 116, 8.023304621108261e-05, 1, 29
0.8359999999999999, 0.06890559886873614, 0.6899999999999999, 0.2760703889784571, 60.73548557526057, 273, 138, 8.24229651539906e-05, 2, 30
0.9350000000000001, 0.07843509658462517, 0.8100000000000001, 0.3960703889784572, 87.13548557526059, 173, 240, 8.388780383382372e-05, 2, 190
1.034, 0.087720248205235, 0.73, 0.3160703889784571, 69.53548557526057, 96, 292, 8.483582998572048e-05, 2, 139
1.134, 0.09773843811168245, 0.08, -0.3339296110215429, -73.46451442473944, 132, 262, 8.618909886391751e-05, 3, 67
1.236, 0.1075122819228507, 0.07000000000000001, -0.3439296110215429, -75.66451442473944, 247, 153, 8.698404686314781e-05, 3, 213
1.332, 0.1170417796387397, 0.08, -0.3339296110215429, -73.46451442473944, 284, 134, 8.786920393298777e-05, 3, 69
1.434, 0.1270599695451872, 0.14, -0.2739296110215429, -60.26451442473944, 257, 120, 8.860527862286414e-05, 3, 35
1.532, 0.1365894672610762, 0.71, 0.2960703889784571, 65.13548557526057, 275, 137, 8.915761570566335e-05, 4, 35
1.631, 0.1463633110722445, 0.76, 0.3460703889784571, 76.13548557526058, 149, 270, 8.973838814975137e-05, 4, 237
1.732, 0.1558928087881335, 0.7, 0.2860703889784571, 62.93548557526058, 119, 270, 9.000739537421103e-05, 4, 51
1.836, 0.1661553447898602, 0.1, -0.3139296110215429, -69.06451442473944, 145, 265, 9.049855380711337e-05, 5, 26
1.934, 0.17544049641047, 0.08, -0.3339296110215429, -73.46451442473944, 234, 151, 9.071380372826782e-05, 5, 185
2.031, 0.184969994126359, 0.1, -0.3139296110215429, -69.06451442473944, 282, 131, 9.107335998343626e-05, 5, 92
2.134, 0.1952325301280857, 0.42, 0.006070388978457117, 1.335485575260566, 262, 133, 9.148665891662874e-05, 6, 21
2.231, 0.2047620278439747, 0.76, 0.3460703889784571, 76.13548557526058, 194, 224, 9.178038002867538e-05, 6, 151
2.332, 0.2142915255598638, 0.79, 0.3760703889784571, 82.73548557526057, 114, 281, 9.1891734802686e-05, 6, 136
2.434, 0.2245540615615905, 0.25, -0.1639296110215429, -36.06451442473944, 124, 293, 9.225721510336502e-05, 7, 19
