Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.011, 0.0, 0.04, -0.3739296110215429, -97.22169886560117, 0, 0, 0.0, 0, 0
0.049, 0.0, 0.84, 0.4260703889784571, 110.7783011343989, 0, 0, 0.0, 1, 0
0.091, 0.0007330382858376185, 0.84, 0.4260703889784571, 110.7783011343989, 16, 52, 8.055365778435364e-06, 1, 25
0.132, 0.003420845333908886, 0.84, 0.4260703889784571, 110.7783011343989, 123, 162, 2.591549495385519e-05, 1, 260
0.172, 0.006352998477259359, 0.8299999999999999, 0.4160703889784571, 108.1783011343989, 82, 198, 3.693603765848464e-05, 1, 70
0.211, 0.00952949771588904, 0.8199999999999999, 0.4060703889784571, 105.5783011343989, 94, 291, 4.516349628383431e-05, 1, 85
0.248, 0.01343903524035634, 0.8199999999999999, 0.4060703889784571, 105.5783011343989, 105, 343, 5.418965822724329e-05, 1, 82
0.293, 0.01808161105066125, 0.8, 0.3860703889784571, 100.3783011343989, 95, 306, 6.171198310805888e-05, 1, 48
0.342, 0.02272418686096617, 0.5, 0.08607038897845712, 22.37830113439885, 98, 298, 6.644499082153851e-05, 1, 10
0.379, 0.02638937829015426, 0.17, -0.2439296110215428, -63.42169886560115, 102, 293, 6.962896646478698e-05, 2, 4
0.423, 0.03054326190990077, 0.08, -0.3339296110215429, -86.82169886560116, 188, 214, 7.220629293120748e-05, 2, 161
0.461, 0.03420845333908886, 0.08, -0.3339296110215429, -86.82169886560116, 260, 152, 7.420488793728603e-05, 2, 135
0.502, 0.03836233695883537, 0.08, -0.3339296110215429, -86.82169886560116, 279, 115, 7.641899792596686e-05, 2, 60
0.542, 0.04202752838802345, 0.08, -0.3339296110215429, -86.82169886560116, 278, 110, 7.754156529155619e-05, 2, 15
0.5819999999999999, 0.04618141200776996, 0.09, -0.3239296110215429, -84.22169886560116, 306, 120, 7.934950516798962e-05, 2, 38
0.619, 0.04984660343695805, 0.11, -0.3039296110215429, -79.02169886560116, 294, 109, 8.052763075437488e-05, 2, 15
0.662, 0.05400048705670456, 0.22, -0.1939296110215429, -50.42169886560115, 277, 115, 8.157173271405522e-05, 2, 21
0.706, 0.05839871677173027, 0.39, -0.02392961102154288, -6.22169886560115, 258, 134, 8.271772913842813e-05, 2, 32
0.747, 0.06255260039147677, 0.7, 0.2860703889784571, 74.37830113439886, 220, 180, 8.37384208721242e-05, 3, 89
0.7850000000000001, 0.06621779182066485, 0.77, 0.3560703889784571, 92.57830113439885, 194, 212, 8.435387493078325e-05, 3, 59
0.8219999999999999, 0.06939429105929453, 0.8, 0.3860703889784571, 100.3783011343989, 141, 251, 8.442127866094227e-05, 3, 76
0.865, 0.07354817467904105, 0.7199999999999999, 0.3060703889784571, 79.57830113439886, 91, 295, 8.502679153646366e-05, 3, 106
