Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.042, 0.0, 0.14, -0.2739296110215429, -58.62093675861018, 0, 0, 0.0, 0, 0
0.15, 0.002932153143350474, 0.14, -0.2739296110215429, -58.62093675861018, 110, 139, 1.954768762233649e-05, 0, 230
0.246, 0.01148426647812269, 0.17, -0.2439296110215428, -52.20093675861019, 254, 138, 4.668401007366947e-05, 0, 148
0.35, 0.02296853295624538, 0.52, 0.1060703889784571, 22.69906324138983, 250, 156, 6.56243798749868e-05, 1, 30
0.449, 0.03298672286269283, 0.75, 0.3360703889784571, 71.91906324138983, 176, 259, 7.346708878105307e-05, 1, 172
0.5470000000000001, 0.04276056667386107, 0.65, 0.2360703889784571, 50.51906324138983, 139, 288, 7.81728824019398e-05, 1, 71
0.649, 0.05351179486614615, 0.2, -0.2139296110215429, -45.78093675861019, 156, 264, 8.245268854567971e-05, 2, 40
0.748, 0.0632856386773144, 0.09, -0.3239296110215429, -69.32093675861019, 257, 159, 8.460646881993902e-05, 2, 202
0.848, 0.07354817467904105, 0.2, -0.2139296110215429, -45.78093675861019, 293, 132, 8.673133806490691e-05, 2, 63
0.9469999999999999, 0.08381071068076771, 0.64, 0.2260703889784571, 48.37906324138983, 263, 171, 8.850127843798067e-05, 3, 67
1.048, 0.09407324668249435, 0.8199999999999999, 0.4060703889784571, 86.89906324138983, 172, 265, 8.976454836115874e-05, 3, 184
1.153, 0.1048244748747794, 0.61, 0.1960703889784571, 41.95906324138983, 128, 308, 9.091454889399776e-05, 3, 86
1.259, 0.1155757030670645, 0.11, -0.3039296110215429, -65.04093675861019, 177, 239, 9.179960529552382e-05, 4, 119
1.36, 0.1258382390687911, 0.09, -0.3239296110215429, -69.32093675861019, 260, 143, 9.252811696234643e-05, 4, 172
1.46, 0.1361007750705178, 0.18, -0.2339296110215429, -50.06093675861019, 280, 147, 9.321970895240945e-05, 4, 24
1.56, 0.1466076571675237, 0.67, 0.2560703889784572, 54.79906324138983, 254, 170, 9.397926741507929e-05, 5, 50
1.661, 0.1568701931692503, 0.76, 0.3460703889784571, 74.05906324138982, 156, 265, 9.444322285927173e-05, 5, 187
1.76, 0.1668883830756978, 0.62, 0.2060703889784571, 44.09906324138983, 139, 279, 9.482294492937374e-05, 5, 40
1.861, 0.1773952651727036, 0.14, -0.2739296110215429, -58.62093675861018, 183, 247, 9.532254979726151e-05, 6, 76
1.96, 0.1874134550791511, 0.09, -0.3239296110215429, -69.32093675861019, 270, 154, 9.561910973426077e-05, 6, 174
2.057, 0.1971872988903193, 0.19, -0.2239296110215429, -47.92093675861018, 282, 151, 9.586159401571187e-05, 6, 21
2.159, 0.2079385270826045, 0.64, 0.2260703889784571, 48.37906324138983, 243, 174, 9.631242569828832e-05, 7, 60
2.257, 0.2177123708937727, 0.76, 0.3460703889784571, 74.05906324138982, 170, 249, 9.646095298793648e-05, 7, 146
2.359, 0.2284635990860577, 0.65, 0.2360703889784571, 50.51906324138983, 129, 283, 9.68476469207536e-05, 7, 79
2.46, 0.2384817889925052, 0.19, -0.2239296110215429, -47.92093675861018, 168, 248, 9.694381666362e-05, 8, 75
2.558, 0.2484999788989527, 0.09, -0.3239296110215429, -69.32093675861019, 242, 172, 9.714619972593928e-05, 8, 150
2.668, 0.2597398992817961, 0.2, -0.2139296110215429, -45.78093675861019, 279, 139, 9.735378533800453e-05, 8, 70
2.768, 0.2704911274740812, 0.6800000000000001, 0.2660703889784571, 56.93906324138982, 254, 165, 9.772078304699468e-05, 9, 53
2.867, 0.2802649712852494, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 166, 276, 9.775548353165309e-05, 9, 188
2.973, 0.2912605455728137, 0.6600000000000001, 0.2460703889784571, 52.65906324138983, 120, 311, 9.796856561480446e-05, 9, 90
3.075, 0.3015230815745404, 0.12, -0.2939296110215428, -62.90093675861018, 160, 264, 9.805628669090744e-05, 10, 96
3.176, 0.3120299636715462, 0.09, -0.3239296110215429, -69.32093675861019, 272, 140, 9.824621022403848e-05, 10, 222
3.279, 0.3225368457685521, 0.15, -0.2639296110215429, -56.48093675861018, 291, 153, 9.836439334204089e-05, 10, 38
3.385, 0.3332880739608371, 0.58, 0.1660703889784571, 35.53906324138983, 256, 173, 9.846028772846003e-05, 11, 56
3.488, 0.3435506099625638, 0.79, 0.3760703889784571, 80.47906324138983, 157, 248, 9.849501432412954e-05, 11, 171
3.587, 0.3540574920595697, 0.61, 0.1960703889784571, 41.95906324138983, 122, 298, 9.870574074702249e-05, 11, 86
