Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.04100000000000001, 0.0, 0.8, 0.3860703889784571, 77.21407779569143, 0, 0, 0.0, 0, 0
0.14, 0.002443460952792061, 0.8100000000000001, 0.3960703889784572, 79.21407779569143, 68, 96, 1.74532925199433e-05, 0, 164
0.236, 0.01026253600172666, 0.84, 0.4260703889784571, 85.21407779569143, 113, 251, 4.348532204121465e-05, 0, 187
0.336, 0.02125811028929093, 0.6, 0.1860703889784571, 37.21407779569143, 127, 300, 6.326818538479444e-05, 0, 84
0.438, 0.03152064629101759, 0.07000000000000001, -0.3439296110215429, -68.78592220430858, 184, 223, 7.196494586990319e-05, 1, 144
0.536, 0.04129449010218583, 0.05, -0.3639296110215429, -72.78592220430858, 276, 142, 7.704195914586909e-05, 1, 161
0.637, 0.05180137219919169, 0.07000000000000001, -0.3439296110215429, -68.78592220430858, 292, 149, 8.132083547753799e-05, 1, 26
0.74, 0.06255260039147677, 0.13, -0.2839296110215429, -56.78592220430858, 280, 143, 8.453054106956321e-05, 1, 18
0.8390000000000001, 0.07257079029792423, 0.63, 0.2160703889784571, 43.21407779569142, 261, 150, 8.649677031933757e-05, 2, 25
0.9370000000000001, 0.08258898020437167, 0.8, 0.3860703889784571, 77.21407779569143, 168, 264, 8.814192124265919e-05, 2, 199
1.039, 0.09309586230137754, 0.51, 0.09607038897845712, 19.21407779569142, 124, 304, 8.960140741229791e-05, 2, 90
1.141, 0.1033583983031042, 0.09, -0.3239296110215429, -64.78592220430858, 207, 216, 9.058580044093269e-05, 3, 165
1.238, 0.1133765882095517, 0.09, -0.3239296110215429, -64.78592220430858, 276, 145, 9.158044281870087e-05, 3, 143
1.334, 0.1233947781159991, 0.2, -0.2139296110215429, -42.78592220430858, 289, 146, 9.249983367016423e-05, 3, 14
1.429, 0.1329242758318882, 0.65, 0.2360703889784571, 47.21407779569143, 252, 166, 9.301908735611487e-05, 4, 57
1.53, 0.1429424657383356, 0.7800000000000001, 0.3660703889784571, 73.21407779569142, 155, 257, 9.342644819499057e-05, 4, 187
1.631, 0.1534493478353415, 0.49, 0.07607038897845713, 15.21407779569143, 130, 287, 9.408298457102481e-05, 4, 57
1.729, 0.1634675377417889, 0.09, -0.3239296110215429, -64.78592220430858, 207, 218, 9.454455624163614e-05, 5, 149
1.83, 0.1739744198387948, 0.09, -0.3239296110215429, -64.78592220430858, 285, 130, 9.506798898294797e-05, 5, 159
1.932, 0.1844813019358007, 0.42, 0.006070388978457117, 1.214077795691423, 285, 153, 9.548721632287817e-05, 6, 20
2.037, 0.1952325301280857, 0.77, 0.3560703889784571, 71.21407779569143, 191, 228, 9.584316648408723e-05, 6, 171
2.133, 0.2052507200345332, 0.71, 0.2960703889784571, 59.21407779569143, 126, 302, 9.622631037718385e-05, 6, 130
2.233, 0.2155132560362599, 0.14, -0.2739296110215429, -54.78592220430858, 158, 273, 9.651287775918489e-05, 7, 59
2.336, 0.2255314459427073, 0.08, -0.3339296110215429, -66.78592220430858, 267, 139, 9.65459956946521e-05, 7, 224
2.44, 0.2367713663255508, 0.24, -0.1739296110215429, -34.78592220430858, 291, 152, 9.703744521538965e-05, 7, 35
2.543, 0.2470339023272774, 0.65, 0.2360703889784571, 47.21407779569143, 231, 181, 9.71427063811551e-05, 8, 83
2.643, 0.2570520922337249, 0.77, 0.3560703889784571, 71.21407779569143, 162, 272, 9.725769664537452e-05, 8, 157
2.736, 0.2668259360448931, 0.51, 0.09607038897845712, 19.21407779569142, 132, 287, 9.752409943161297e-05, 8, 44
2.839, 0.2773328181418989, 0.12, -0.2939296110215428, -58.78592220430858, 214, 227, 9.768679751387776e-05, 9, 138
2.937, 0.2871066619530672, 0.11, -0.3039296110215429, -60.78592220430858, 272, 129, 9.77550772737716e-05, 9, 149
3.034, 0.2971248518595146, 0.3, -0.1139296110215429, -22.78592220430858, 274, 157, 9.79317244098598e-05, 9, 36
3.129, 0.3068986956706829, 0.73, 0.3160703889784571, 63.21407779569142, 220, 197, 9.808203760648222e-05, 10, 89
3.226, 0.3166725394818512, 0.8199999999999999, 0.4060703889784571, 81.21407779569143, 136, 283, 9.816259748352484e-05, 10, 161
3.326, 0.327179421578857, 0.18, -0.2339296110215429, -46.78592220430858, 135, 297, 9.837024100386561e-05, 11, 27
3.424, 0.3369532653900253, 0.07000000000000001, -0.3439296110215429, -68.78592220430858, 241, 174, 9.840924806951671e-05, 11, 206
3.528, 0.3474601474870311, 0.07000000000000001, -0.3439296110215429, -68.78592220430858, 270, 147, 9.848643636253716e-05, 11, 79
3.626, 0.357967029584037, 0.07000000000000001, -0.3439296110215429, -68.78592220430858, 269, 136, 9.872229166686072e-05, 11, 5
3.726, 0.3679852194904845, 0.07000000000000001, -0.3439296110215429, -68.78592220430858, 272, 145, 9.876146524167591e-05, 11, 13
3.823, 0.3780034093969319, 0.07000000000000001, -0.3439296110215429, -68.78592220430858, 270, 141, 9.887612068975461e-05, 11, 14
3.92, 0.3877772532081001, 0.07000000000000001, -0.3439296110215429, -68.78592220430858, 285, 138, 9.892276867553573e-05, 11, 16
4.024, 0.3985284814003852, 0.08, -0.3339296110215429, -66.78592220430858, 272, 142, 9.903789299214344e-05, 11, 12
4.124, 0.4087910174021118, 0.08, -0.3339296110215429, -66.78592220430858, 279, 153, 9.912488297820364e-05, 11, 15
4.223, 0.4188092073085593, 0.08, -0.3339296110215429, -66.78592220430858, 281, 148, 9.917338558099912e-05, 11, 7
4.323, 0.4293160894055651, 0.08, -0.3339296110215429, -66.78592220430858, 280, 145, 9.930975928881915e-05, 11, 6
4.419, 0.4388455871214542, 0.08, -0.3339296110215429, -66.78592220430858, 278, 151, 9.930879998222546e-05, 11, 8
4.522, 0.4491081231231809, 0.09, -0.3239296110215429, -64.78592220430858, 277, 125, 9.931625898345441e-05, 11, 29
4.619, 0.4596150052201867, 0.08, -0.3339296110215429, -66.78592220430858, 268, 139, 9.950530530854875e-05, 11, 19
4.717, 0.469388849031355, 0.16, -0.2539296110215429, -50.78592220430858, 279, 138, 9.951003795449543e-05, 11, 13
4.818, 0.48014007722364, 0.6899999999999999, 0.2760703889784571, 55.21407779569143, 259, 163, 9.965547472470735e-05, 12, 48
4.913, 0.4896695749395291, 0.8, 0.3860703889784571, 77.21407779569143, 163, 276, 9.9668140634954e-05, 12, 203
5.014, 0.4999321109412557, 0.8699999999999999, 0.4560703889784572, 91.21407779569143, 132, 291, 9.970724191090063e-05, 12, 50
