Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.011, 0.0, 0.8100000000000001, 0.3891385351546599, 81.71909238247858, 0, 0, 0.0, 0, 0
0.045, 0.0, 0.8, 0.3791385351546599, 79.61909238247859, 0, 0, 0.0, 0, 0
0.085, 0.0009773843811168245, 0.8, 0.3791385351546599, 79.61909238247859, 12, 13, 1.149863977784499e-05, 0, 25
0.119, 0.002932153143350474, 0.8, 0.3791385351546599, 79.61909238247859, 95, 104, 2.463994238109642e-05, 0, 158
0.159, 0.005375614096142534, 0.8100000000000001, 0.3891385351546599, 81.71909238247858, 126, 182, 3.380889368643103e-05, 0, 123
0.198, 0.008796459430051421, 0.76, 0.3391385351546599, 71.21909238247858, 93, 257, 4.442656277803748e-05, 0, 106
0.235, 0.01221730476396031, 0.62, 0.1991385351546599, 41.81909238247857, 94, 289, 5.198853091046939e-05, 0, 45
0.275, 0.0158824961931484, 0.31, -0.1108614648453401, -23.28090761752143, 120, 247, 5.775453161144872e-05, 1, 67
0.317, 0.0197920337176157, 0.14, -0.2808614648453402, -58.98090761752144, 168, 186, 6.243543759500221e-05, 1, 117
0.355, 0.02296853295624538, 0.11, -0.3108614648453401, -65.28090761752143, 219, 143, 6.470009283449403e-05, 1, 94
0.389, 0.02565634000431665, 0.12, -0.3008614648453401, -63.18090761752143, 228, 112, 6.595460155351324e-05, 1, 40
0.424, 0.02834414705238792, 0.17, -0.2508614648453401, -52.68090761752143, 226, 103, 6.68494034254432e-05, 1, 21
0.465, 0.03249803067213442, 0.3, -0.1208614648453401, -25.38090761752143, 259, 129, 6.988823800459016e-05, 1, 62
0.504, 0.0359188760060433, 0.48, 0.05913853515465988, 12.41909238247858, 231, 146, 7.126761112310178e-05, 2, 38
0.544, 0.0395840674352314, 0.58, 0.1591385351546599, 33.41909238247858, 193, 170, 7.276482984417536e-05, 2, 61
0.5789999999999999, 0.04276056667386107, 0.62, 0.1991385351546599, 41.81909238247857, 152, 203, 7.385244675969097e-05, 2, 75
0.615, 0.04544837372193234, 0.6, 0.1791385351546599, 37.61909238247858, 127, 212, 7.389979466980868e-05, 2, 34
0.657, 0.04935791124639964, 0.5, 0.07913853515465988, 16.61909238247858, 135, 222, 7.512619672206946e-05, 2, 19
0.6949999999999999, 0.05277875658030853, 0.34, -0.08086146484534012, -16.98090761752143, 161, 214, 7.594065695008419e-05, 3, 34
