Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.021, 0.0, 0.74, 0.3191385351546599, 82.97601914021158, 0, 0, 0.0, 0, 0
0.055, 0.0, 0.74, 0.3191385351546599, 82.97601914021158, 0, 0, 0.0, 0, 0
0.09199999999999999, 0.0009773843811168245, 0.74, 0.3191385351546599, 82.97601914021158, 15, 71, 1.062374327300896e-05, 0, 35
0.131, 0.003420845333908886, 0.73, 0.3091385351546599, 80.37601914021158, 154, 141, 2.611332315960981e-05, 0, 253
0.166, 0.006352998477259359, 0.6800000000000001, 0.2591385351546599, 67.37601914021157, 134, 193, 3.827107516421301e-05, 0, 67
0.21, 0.009773843811168245, 0.5300000000000001, 0.1091385351546599, 28.37601914021157, 103, 253, 4.654211338651545e-05, 0, 92
0.251, 0.01417207352619396, 0.25, -0.1708614648453401, -44.42398085978843, 152, 298, 5.646244432746597e-05, 1, 98
0.291, 0.01808161105066125, 0.1, -0.3208614648453401, -83.42398085978843, 204, 213, 6.213612044900774e-05, 1, 130
0.331, 0.02223549467040776, 0.08, -0.3408614648453401, -88.62398085978844, 231, 149, 6.71767210586337e-05, 1, 97
0.372, 0.02590068609959585, 0.09, -0.3308614648453401, -86.02398085978844, 283, 94, 6.962550026773079e-05, 1, 109
0.412, 0.02956587752878395, 0.23, -0.1908614648453401, -49.62398085978844, 281, 105, 7.176183866209696e-05, 1, 11
0.45, 0.03371976114853044, 0.55, 0.1291385351546599, 33.57601914021157, 298, 134, 7.493280255228988e-05, 2, 50
0.49, 0.03787364476827695, 0.6800000000000001, 0.2591385351546599, 67.37601914021157, 242, 168, 7.729315258832031e-05, 2, 87
0.5300000000000001, 0.04153883619746504, 0.6800000000000001, 0.2591385351546599, 67.37601914021157, 159, 232, 7.837516263672649e-05, 2, 135
0.568, 0.04520402762665313, 0.6899999999999999, 0.2691385351546598, 69.97601914021158, 116, 274, 7.958455568072733e-05, 2, 97
0.606, 0.04886921905584122, 0.6800000000000001, 0.2591385351546599, 67.37601914021157, 119, 259, 8.0642275669705e-05, 2, 22
0.644, 0.05253441048502932, 0.5300000000000001, 0.1091385351546599, 28.37601914021157, 143, 272, 8.157517156060454e-05, 2, 42
0.6800000000000001, 0.0561996019142174, 0.33, -0.09086146484534012, -23.62398085978843, 148, 272, 8.264647340326087e-05, 3, 5
0.719, 0.0601091394386847, 0.18, -0.2408614648453401, -62.62398085978844, 184, 220, 8.36010284265434e-05, 3, 62
0.756, 0.06377433086787279, 0.14, -0.2808614648453402, -73.02398085978844, 248, 144, 8.435758051305926e-05, 3, 141
0.794, 0.06719517620178168, 0.19, -0.2308614648453401, -60.02398085978843, 270, 109, 8.462868539267214e-05, 3, 83
0.8299999999999999, 0.07037167544041136, 0.31, -0.1108614648453401, -28.82398085978843, 257, 127, 8.478515113302574e-05, 3, 26
0.865, 0.07403686686959947, 0.5600000000000001, 0.1391385351546599, 36.17601914021157, 251, 170, 8.559175360647336e-05, 4, 51
0.901, 0.07770205829878756, 0.65, 0.2291385351546599, 59.57601914021158, 241, 193, 8.623979833383745e-05, 4, 34
0.9360000000000001, 0.08112290363269643, 0.6899999999999999, 0.2691385351546598, 69.97601914021158, 170, 218, 8.66697688383509e-05, 4, 82
0.976, 0.08503244115716374, 0.6800000000000001, 0.2591385351546599, 67.37601914021157, 113, 271, 8.712340282496283e-05, 4, 122
1.013, 0.08845328649107262, 0.55, 0.1291385351546599, 33.57601914021157, 115, 273, 8.731815053412895e-05, 4, 5
1.05, 0.09187413182498151, 0.3, -0.1208614648453401, -31.42398085978844, 146, 246, 8.749917316664908e-05, 5, 51
1.087, 0.09578366934944881, 0.15, -0.2708614648453401, -70.42398085978843, 198, 229, 8.811745110344877e-05, 5, 70
1.125, 0.09944886077863691, 0.12, -0.3008614648453401, -78.22398085978844, 241, 159, 8.839898735878837e-05, 5, 98
1.162, 0.1028697061125458, 0.15, -0.2708614648453401, -70.42398085978843, 271, 110, 8.852814639633888e-05, 5, 92
1.204, 0.1070235897322923, 0.26, -0.1608614648453401, -41.82398085978844, 270, 129, 8.889002469459491e-05, 5, 12
1.243, 0.1109331272567596, 0.5600000000000001, 0.1391385351546599, 36.17601914021157, 269, 158, 8.924628097888943e-05, 6, 33
1.284, 0.1148426647812269, 0.75, 0.3291385351546599, 85.57601914021157, 226, 173, 8.944132771123588e-05, 6, 53
1.324, 0.1187522023056942, 0.8, 0.3791385351546599, 98.57601914021158, 160, 237, 8.96919956991648e-05, 6, 124
1.362, 0.1226617398301615, 0.76, 0.3391385351546599, 88.17601914021157, 117, 295, 9.006001455958991e-05, 6, 113
1.403, 0.1263269312593496, 0.5699999999999999, 0.1491385351546599, 38.77601914021157, 89, 289, 9.004057823189562e-05, 6, 37
1.444, 0.1304808148790961, 0.25, -0.1708614648453401, -44.42398085978843, 124, 278, 9.036067512402774e-05, 7, 49
1.482, 0.1343903524035634, 0.1, -0.3208614648453401, -83.42398085978843, 183, 237, 9.06817492601642e-05, 7, 91
1.519, 0.1380555438327514, 0.08, -0.3408614648453401, -88.62398085978844, 238, 171, 9.088580897481993e-05, 7, 113
1.56, 0.1417207352619395, 0.08, -0.3408614648453401, -88.62398085978844, 266, 82, 9.084662516790997e-05, 7, 126
1.596, 0.1448972345005692, 0.11, -0.3108614648453401, -80.82398085978843, 292, 89, 9.078774091514362e-05, 7, 26
1.635, 0.1490511181203158, 0.27, -0.1508614648453401, -39.22398085978843, 290, 124, 9.116276337633991e-05, 7, 35
1.674, 0.152960655644783, 0.5, 0.07913853515465988, 20.57601914021157, 274, 135, 9.137434626331125e-05, 8, 27
1.713, 0.1568701931692503, 0.6899999999999999, 0.2691385351546598, 69.97601914021158, 229, 174, 9.157629490324013e-05, 8, 80
1.749, 0.1602910385031592, 0.7800000000000001, 0.3591385351546599, 93.37601914021157, 165, 244, 9.164724900123456e-05, 8, 128
1.79, 0.1644449221229057, 0.8, 0.3791385351546599, 98.57601914021158, 114, 291, 9.186867157704231e-05, 8, 105
1.83, 0.1678657674568146, 0.71, 0.2891385351546599, 75.17601914021157, 86, 283, 9.172992757202984e-05, 8, 36
1.87, 0.1717753049812819, 0.51, 0.08913853515465988, 23.17601914021157, 120, 276, 9.185845186164807e-05, 8, 44
1.91, 0.1759291886010284, 0.18, -0.2408614648453401, -62.62398085978844, 146, 279, 9.210952282776358e-05, 9, 40
1.952, 0.1800830722207749, 0.09, -0.3308614648453401, -86.02398085978844, 192, 211, 9.225567224424942e-05, 9, 119
1.994, 0.1839926097452422, 0.08, -0.3408614648453401, -88.62398085978844, 267, 127, 9.227312424535718e-05, 9, 148
2.033, 0.1876578011744303, 0.09, -0.3308614648453401, -86.02398085978844, 271, 93, 9.23058539962766e-05, 9, 55
2.074, 0.1918116847941768, 0.17, -0.2508614648453401, -65.22398085978844, 296, 123, 9.248393673779015e-05, 9, 55
2.113, 0.1957212223186441, 0.38, -0.04086146484534012, -10.62398085978843, 294, 133, 9.262717573054619e-05, 9, 17
2.15, 0.1993864137478322, 0.58, 0.1591385351546599, 41.37601914021157, 260, 137, 9.273786685945684e-05, 10, 23
2.191, 0.2032959512722995, 0.67, 0.2491385351546599, 64.77601914021157, 180, 219, 9.278683307727039e-05, 10, 166
2.226, 0.2069611427014876, 0.6899999999999999, 0.2691385351546598, 69.97601914021158, 133, 280, 9.297445763768536e-05, 10, 112
2.27, 0.2108706802259549, 0.7199999999999999, 0.2991385351546599, 77.77601914021158, 115, 246, 9.289457278676426e-05, 10, 63
