Tempo (s), Distância (m), Refletância (%), Erro (%), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
3.027, 0.0, 77, 34.4096912103491, 0, 0, 0.0, 0, 0
3.069, 0.0, 75, 32.4096912103491, 0, 0, 0.0, 0, 0
3.104, 0.0007330382858376185, 75, 32.4096912103491, 65, 15, 0.0002361592415713977, 0, 28
3.142, 0.002687807048071267, 74, 31.4096912103491, 67, 155, 0.0008554446365599196, 0, 179
3.184, 0.005131268000863328, 69, 26.4096912103491, 48, 191, 0.001611579145999789, 0, 69
3.222, 0.007819075048934597, 52, 9.409691210349102, 78, 217, 0.002426776861866728, 0, 35
3.262, 0.01075122819228507, 27, 15.5903087896509, 81, 237, 0.00329590073337985, 1, 46
3.301, 0.01319468914507713, 14, 28.5903087896509, 54, 200, 0.003997179383543511, 1, 60
3.338, 0.01539380400258998, 10, 32.5903087896509, 96, 136, 0.004611684841998197, 1, 95
3.375, 0.01783726495538205, 9, 33.5903087896509, 207, 76, 0.005285115542335421, 1, 169
3.413, 0.02052507200345331, 9, 33.5903087896509, 221, 44, 0.006013791972884065, 1, 71
3.448, 0.02247984076568696, 12, 30.5903087896509, 173, 64, 0.006519675396080906, 1, 73
3.486, 0.02516764781375823, 18, 24.5903087896509, 216, 76, 0.007219635058450439, 1, 58
3.522, 0.02761110876655029, 31, 11.5903087896509, 235, 62, 0.007839610666255052, 1, 38
3.562, 0.03005456971934235, 48, 5.409691210349102, 201, 54, 0.008437554665733396, 2, 46
3.599, 0.03249803067213442, 61, 18.4096912103491, 200, 71, 0.009029739003093754, 2, 24
3.637, 0.03518583772020568, 74, 31.4096912103491, 151, 117, 0.009674412350895157, 2, 88
3.675, 0.03762929867299774, 79, 36.4096912103491, 79, 205, 0.0102392649450334, 2, 164
3.714, 0.04031710572106901, 79, 36.4096912103491, 49, 221, 0.01085544042032014, 2, 56
3.748, 0.04227187448330266, 73, 30.40969121034911, 64, 173, 0.01127851507025151, 2, 60
3.789, 0.04495968153137392, 62, 19.4096912103491, 67, 199, 0.01186584363456688, 2, 26
3.825, 0.04740314248416599, 42, 0.5903087896508978, 50, 236, 0.01239297842723294, 2, 60
3.866, 0.05009094953223726, 24, 18.5903087896509, 57, 211, 0.01295678984279288, 3, 20
3.909, 0.05277875658030853, 14, 28.5903087896509, 77, 191, 0.0135018563776691, 3, 45
3.945, 0.05546656362837979, 11, 31.5903087896509, 118, 145, 0.01405996543178195, 3, 87
3.979, 0.05742133239061344, 9, 33.5903087896509, 194, 68, 0.01443109635350929, 3, 132
4.015, 0.05986479334340551, 8, 34.5903087896509, 223, 53, 0.01491028476797148, 3, 72
4.052, 0.06206390820091836, 10, 32.5903087896509, 176, 60, 0.0153168578975613, 3, 50
4.091, 0.06450736915371041, 12, 30.5903087896509, 196, 68, 0.01576811761273782, 3, 29
4.125, 0.06695083010650248, 21, 21.5903087896509, 218, 58, 0.01623050426824302, 3, 31
4.168, 0.06988298324985296, 36, 6.590308789650898, 226, 65, 0.01676655068374591, 3, 16
4.205, 0.07257079029792423, 53, 10.4096912103491, 218, 57, 0.01725821410176557, 4, 13
4.245, 0.07476990515543708, 71, 28.4096912103491, 184, 66, 0.01761364079044454, 4, 35
4.281, 0.07721336610822914, 78, 35.40969121034911, 155, 115, 0.01803629201313458, 4, 68
4.319, 0.0799011731563004, 79, 36.4096912103491, 86, 199, 0.01849992432421866, 4, 171
4.357, 0.08210028801381325, 79, 36.4096912103491, 35, 216, 0.01884330686569044, 4, 66
4.395, 0.08478809506188455, 78, 35.40969121034911, 67, 184, 0.01929194426891571, 4, 50
4.435, 0.08723155601467658, 72, 29.40969121034911, 81, 196, 0.01966889650838255, 4, 35
4.475, 0.08991936306274784, 59, 16.4096912103491, 60, 226, 0.0200937124162565, 4, 60
4.517, 0.09260717011081912, 43, 0.4096912103491022, 48, 220, 0.02050191944007507, 4, 16
4.555, 0.0952949771588904, 25, 17.5903087896509, 65, 196, 0.0209209609569463, 5, 42
4.595, 0.09773843811168245, 14, 28.5903087896509, 70, 202, 0.02127060677076877, 5, 12
4.631, 0.09993755296919531, 9, 33.5903087896509, 121, 142, 0.02158012372472367, 5, 89
4.666, 0.1023810139219874, 8, 34.5903087896509, 193, 73, 0.02194192325803415, 5, 156
4.705, 0.1050688209700586, 8, 34.5903087896509, 226, 47, 0.02233131157705816, 5, 68
4.741, 0.1072679358275715, 9, 33.5903087896509, 180, 64, 0.02262559287651793, 5, 58
4.78, 0.1097113967803635, 11, 31.5903087896509, 195, 68, 0.02295217505865346, 5, 18
4.819, 0.1121548577331556, 15, 27.5903087896509, 217, 54, 0.02327347120422403, 5, 47
4.855, 0.1145983186859477, 27, 15.5903087896509, 225, 53, 0.02360418510524154, 5, 10
4.897, 0.1177748179245774, 44, 1.409691210349102, 224, 64, 0.02405040186329944, 5, 12
4.935, 0.1202182788773694, 62, 19.4096912103491, 191, 66, 0.02436034019804852, 6, 32
4.975, 0.1226617398301615, 76, 33.4096912103491, 182, 62, 0.02465562609651487, 6, 16
5.019, 0.125593892973512, 79, 36.4096912103491, 139, 140, 0.02502368857810558, 6, 112
5.058, 0.1282817000215832, 79, 36.4096912103491, 71, 213, 0.02536213918971594, 6, 151
5.093, 0.1304808148790961, 79, 36.4096912103491, 51, 206, 0.02561963771433263, 6, 25
5.132, 0.1326799297366089, 80, 37.4096912103491, 56, 181, 0.02585345474212957, 6, 30
5.168, 0.1348790445941218, 79, 36.4096912103491, 63, 199, 0.02609888633787186, 6, 21
5.205, 0.1378111977374723, 74, 31.4096912103491, 68, 230, 0.02647669505042694, 6, 39
5.245, 0.1407433508808227, 62, 19.4096912103491, 58, 230, 0.02683381332332178, 6, 12
5.282, 0.1426981196430564, 42, 0.5903087896508978, 51, 203, 0.02701592571810988, 6, 38
5.32, 0.1453859266911277, 26, 16.5903087896509, 63, 197, 0.02732818170885858, 7, 19
5.359, 0.1478293876439197, 14, 28.5903087896509, 66, 198, 0.02758525613807048, 7, 10
5.396, 0.1502728485967117, 9, 33.5903087896509, 118, 155, 0.02784893413578795, 7, 82
5.435, 0.152960655644783, 7, 35.5903087896509, 196, 69, 0.02814363489324435, 7, 164
5.476, 0.1556484626928543, 8, 34.5903087896509, 223, 56, 0.02842375140483096, 7, 58
5.514, 0.1580919236456464, 8, 34.5903087896509, 182, 65, 0.02867100537643206, 7, 53
5.548, 0.16004669240788, 10, 32.5903087896509, 182, 60, 0.02884763742031002, 7, 5
5.583, 0.1622458072653929, 15, 27.5903087896509, 213, 63, 0.02906068552129551, 7, 29
5.622, 0.1649336143134641, 31, 11.5903087896509, 221, 54, 0.02933717792839988, 7, 23
5.662, 0.1676214213615354, 52, 9.409691210349102, 219, 54, 0.02960463111295221, 8, 2
5.699, 0.1698205362190483, 70, 27.4096912103491, 196, 73, 0.02979830430234221, 8, 40
5.738, 0.1725083432671195, 78, 35.40969121034911, 153, 125, 0.03006419366802362, 8, 91
5.775, 0.1751961503151908, 78, 35.40969121034911, 82, 204, 0.03033699572557417, 8, 134
5.811, 0.1773952651727036, 79, 36.4096912103491, 47, 214, 0.03052749357644186, 8, 70
5.848, 0.1795943800302165, 78, 35.40969121034911, 45, 189, 0.03071039330202061, 8, 41
5.888, 0.1822821870782878, 69, 26.4096912103491, 83, 192, 0.03095825188150268, 8, 44
5.925, 0.1847256480310799, 55, 12.4096912103491, 60, 229, 0.03117732456220757, 8, 45
5.967, 0.1874134550791511, 33, 9.590308789650898, 45, 223, 0.03140832161540994, 9, 33
6.004, 0.1901012621272224, 17, 25.5903087896509, 71, 195, 0.03166243539760533, 9, 28
6.039, 0.1923003769847352, 11, 31.5903087896509, 131, 139, 0.03184308279263706, 9, 136
6.075, 0.1947438379375273, 9, 33.5903087896509, 202, 69, 0.03205659883745305, 9, 113
6.115, 0.1974316449855986, 10, 32.5903087896509, 208, 46, 0.03228645052912487, 9, 71
6.15, 0.199142067652553, 13, 29.5903087896509, 161, 68, 0.0323808240085452, 9, 63
6.187, 0.2018298747006242, 20, 22.5903087896509, 199, 71, 0.0326216057379383, 9, 46
6.237, 0.2052507200345332, 38, 4.590308789650898, 235, 54, 0.03290856502076851, 9, 57
6.277, 0.2079385270826045, 65, 22.4096912103491, 216, 66, 0.03312705545365691, 10, 32
6.314, 0.2103819880353964, 75, 32.4096912103491, 208, 60, 0.0333199220835281, 10, 14
6.354, 0.2128254489881885, 80, 37.4096912103491, 140, 114, 0.03349471970226448, 10, 109
6.395, 0.215757602131539, 79, 36.4096912103491, 67, 217, 0.03373848352330556, 10, 176
6.431, 0.2179567169890519, 78, 35.40969121034911, 52, 223, 0.03389157471451592, 10, 40
6.465, 0.2199114857512855, 74, 31.4096912103491, 64, 176, 0.03401569771868299, 10, 54
6.502, 0.2225992927993568, 70, 27.4096912103491, 76, 198, 0.03423551104265715, 10, 47
6.538, 0.2250427537521488, 63, 20.4096912103491, 59, 223, 0.03442073321384962, 10, 41
6.576, 0.2274862147049409, 45, 2.409691210349102, 46, 220, 0.03459340247946182, 10, 19
6.615, 0.229929675657733, 24, 18.5903087896509, 68, 197, 0.03475883229897702, 11, 45
6.653, 0.232373136610525, 12, 30.5903087896509, 66, 194, 0.03492757201420788, 11, 11
6.69, 0.2348165975633171, 8, 34.5903087896509, 109, 157, 0.03509964089137774, 11, 66
6.725, 0.2372600585161092, 7, 35.5903087896509, 191, 73, 0.03528030609904969, 11, 169
6.761, 0.239459173373622, 7, 35.5903087896509, 229, 49, 0.03541771533406626, 11, 72
6.8, 0.2416582882311348, 9, 33.5903087896509, 179, 48, 0.03553798356340219, 11, 56
