Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
0.013, 0.0, 0.55, 0.1291385351546599, 29.70186308557177, 0, 0, 0.0, 0, 0
0.049, 0.0, 0.7199999999999999, 0.2991385351546599, 68.80186308557177, 0, 0, 0.0, 0, 0
0.08599999999999998, 0.0004886921905584122, 0.7199999999999999, 0.2991385351546599, 68.80186308557177, 8, 14, 5.682467332074561e-06, 0, 15
0.123, 0.002443460952792061, 0.73, 0.3091385351546599, 71.10186308557177, 98, 150, 1.986553620156147e-05, 0, 219
0.161, 0.005131268000863328, 0.7199999999999999, 0.2991385351546599, 68.80186308557177, 82, 186, 3.187122981902688e-05, 0, 56
0.2, 0.008063421144213802, 0.67, 0.2491385351546599, 57.30186308557177, 81, 221, 4.031710572106901e-05, 0, 34
0.238, 0.01123992038284348, 0.48, 0.05913853515465988, 13.60186308557177, 100, 233, 4.72265562304348e-05, 0, 40
0.28, 0.01417207352619396, 0.29, -0.1308614648453401, -30.09813691442823, 110, 198, 5.061454830783556e-05, 1, 50
0.316, 0.01685988057426522, 0.19, -0.2308614648453401, -53.09813691442823, 137, 140, 5.33540524502064e-05, 1, 77
0.356, 0.0197920337176157, 0.15, -0.2708614648453401, -62.29813691442823, 195, 91, 5.559560033038117e-05, 1, 119
0.393, 0.02223549467040776, 0.19, -0.2308614648453401, -53.09813691442823, 198, 85, 5.657886684582127e-05, 1, 6
0.431, 0.02492330171847903, 0.26, -0.1608614648453401, -36.99813691442822, 195, 97, 5.782668612176107e-05, 1, 18
0.473, 0.0280998009571087, 0.42, -0.000861464845340123, -0.1981369144282283, 203, 106, 5.940761301714313e-05, 1, 14
0.512, 0.03127630019573838, 0.54, 0.1191385351546599, 27.40186308557177, 185, 129, 6.108652381980153e-05, 2, 36
0.549, 0.03396410724380966, 0.61, 0.1891385351546599, 43.50186308557177, 142, 168, 6.186540481568244e-05, 2, 79
0.5899999999999999, 0.03689626038716012, 0.63, 0.2091385351546599, 48.10186308557177, 107, 187, 6.253603455450869e-05, 2, 61
0.626, 0.03933972133995219, 0.58, 0.1591385351546599, 36.60186308557178, 102, 189, 6.284300533538691e-05, 2, 6
0.6680000000000001, 0.04251622057858187, 0.44, 0.01913853515465988, 4.401863085571772, 104, 193, 6.364703679428422e-05, 2, 5
0.7069999999999999, 0.04520402762665313, 0.29, -0.1308614648453401, -30.09813691442823, 131, 177, 6.393780428098038e-05, 3, 44
0.742, 0.04789183467472441, 0.18, -0.2408614648453401, -55.39813691442823, 156, 151, 6.454425158318652e-05, 3, 50
0.7800000000000001, 0.05057964172279567, 0.17, -0.2508614648453401, -57.69813691442823, 189, 114, 6.484569451640469e-05, 3, 61
0.816, 0.05326744877086693, 0.22, -0.2008614648453401, -46.19813691442823, 208, 87, 6.527873623880751e-05, 3, 58
0.857, 0.0561996019142174, 0.31, -0.1108614648453401, -25.49813691442823, 196, 94, 6.557713175521283e-05, 3, 18
0.8949999999999999, 0.05888740896228867, 0.45, 0.02913853515465987, 6.701863085571771, 181, 117, 6.579598766736164e-05, 4, 37
0.933, 0.06181956210563914, 0.52, 0.09913853515465988, 22.80186308557177, 179, 142, 6.625890900925953e-05, 4, 29
0.973, 0.06499606134426884, 0.5699999999999999, 0.1491385351546599, 34.30186308557177, 135, 165, 6.679965194683334e-05, 4, 63
1.01, 0.06743952229706089, 0.5899999999999999, 0.1691385351546599, 38.90186308557177, 100, 177, 6.677180425451573e-05, 4, 51
1.049, 0.07012732934513216, 0.5899999999999999, 0.1691385351546599, 38.90186308557177, 105, 178, 6.685160090098394e-05, 4, 9
1.087, 0.07281513639320342, 0.51, 0.08913853515465988, 20.50186308557177, 118, 186, 6.698724599190746e-05, 4, 19
