Tempo (s), Distância (m), Vel. Média (m/s), Preto (%), Branco (%), Limite (%), Refletância (%), Erro (%), Ganho Proporcional ((°/s)/%), Ganho Integral ((°/s)/%), Ganho Derivativo ((°/s)/%), Vel. Base (°/s), Correção P (°/s), Correção I (°/s), Correção D (°/s), Correção (°/s), Vel. Angular Esq. (°/s), Vel. Angular Dir. (°/s), Suavidade Esq. (°/s), Suavidade Dir. (°/s), Oscilação
0.009, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.12, -0.311872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 0, 0, 0, 0, 1
0.062, 0.0002443460952792061, 0.003941066052890422, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8199999999999999, 0.388127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 0, 3, 0, 3, 2
0.111, 0.002443460952792061, 0.02201316173686542, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8199999999999999, 0.388127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 58, 100, 58, 97, 2
0.157, 0.005375614096142534, 0.03423958023020723, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8199999999999999, 0.388127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 115, 176, 57, 76, 2
0.202, 0.009040805525330626, 0.04475646299668626, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8100000000000001, 0.378127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 68, 248, 47, 72, 2
0.251, 0.01319468914507713, 0.05256848264970969, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8, 0.368127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 116, 267, 48, 19, 2
0.302, 0.01759291886010284, 0.05825469821226106, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.6899999999999999, 0.258127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 83, 231, 33, 36, 2
0.357, 0.02150245638457014, 0.06023097026490234, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.42, -0.01187246021799403, 0, 0, 0, 240, 0, 0, 0, -150, 85, 235, 2, 4, 3
0.4109999999999999, 0.02614503219487506, 0.06361321701916073, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.14, -0.291872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 115, 207, 30, 28, 3
0.463, 0.03029891581462156, 0.0654404229257485, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 210, 133, 95, 74, 3
0.513, 0.03420845333908886, 0.06668314491050459, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 240, 76, 30, 57, 3
0.561, 0.03787364476827695, 0.06751095324113539, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.11, -0.321872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 234, 100, 6, 24, 3
0.607, 0.04153883619746504, 0.06843300856254536, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.2, -0.2318724602179941, 0, 0, 0, 240, 0, 0, 0, -150, 245, 88, 11, 12, 3
0.662, 0.04618141200776996, 0.06976044109935041, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.34, -0.09187246021799403, 0, 0, 0, 240, 0, 0, 0, -150, 248, 89, 3, 1, 3
0.7119999999999999, 0.05009094953223726, 0.07035245720819839, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.5600000000000001, 0.128127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 234, 86, 14, 3, 4
0.76, 0.05424483315198376, 0.07137478046313652, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.71, 0.278127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 224, 115, 10, 29, 4
0.808, 0.05815437067645107, 0.0719732310352117, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.76, 0.328127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 147, 195, 77, 80, 4
0.8529999999999999, 0.06181956210563914, 0.0724731091508079, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.77, 0.338127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 74, 257, 73, 62, 4
0.906, 0.06548475353482725, 0.0722789774115091, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.7, 0.268127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 91, 200, 17, 57, 4
0.958, 0.07012732934513216, 0.07320180516193337, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.4600000000000001, 0.02812753978200597, 0, 0, 0, 240, 0, 0, 0, 150, 97, 267, 6, 67, 4
1.004, 0.07403686686959947, 0.07374189927250942, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.14, -0.291872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 88, 242, 9, 25, 5
1.053, 0.07794640439406675, 0.07402317606274145, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 99, 216, 11, 26, 5
1.103, 0.08185594191853406, 0.07421209602768274, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 212, 143, 113, 73, 5
1.153, 0.08552113334772214, 0.07417270888787697, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.07000000000000001, -0.361872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 228, 73, 16, 70, 5
1.202, 0.08943067087218942, 0.07440155646604779, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 234, 100, 6, 27, 5
1.252, 0.09382890058721516, 0.0749432113316415, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.12, -0.311872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 254, 89, 20, 11, 5
1.299, 0.09773843811168245, 0.07524129184887025, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.23, -0.201872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 247, 88, 7, 1, 5
1.353, 0.101892321731429, 0.07530844178228304, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.4699999999999999, 0.03812753978200597, 0, 0, 0, 240, 0, 0, 0, 150, 228, 87, 19, 1, 6
1.402, 0.1058018592558962, 0.0754649495405822, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.75, 0.318127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 232, 107, 4, 20, 6
1.451, 0.1097113967803635, 0.07561088682313133, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.85, 0.418127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 151, 189, 81, 82, 6
1.501, 0.1141096264953893, 0.07602240272844054, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.84, 0.4081275397820059, 0, 0, 0, 240, 0, 0, 0, 150, 76, 243, 75, 54, 6
1.556, 0.1182635101151358, 0.07600482655214381, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.75, 0.318127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 96, 222, 20, 21, 6
1.612, 0.1229060859254407, 0.07624447017707237, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.37, -0.06187246021799403, 0, 0, 0, 240, 0, 0, 0, -150, 95, 258, 1, 36, 7
1.661, 0.126815623449908, 0.07634896053576639, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.13, -0.301872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 94, 222, 1, 36, 7
1.711, 0.1307251609743753, 0.07640278256830817, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 240, 0, 0, 0, -150, 194, 131, 100, 91, 7
1.756, 0.1343903524035634, 0.07653209134599281, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 245, 68, 51, 63, 7
1.803, 0.1382998899280307, 0.07670542979924053, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.12, -0.311872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 222, 95, 23, 27, 7
1.852, 0.1419650813572188, 0.07665501153197557, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.29, -0.141872460217994, 0, 0, 0, 240, 0, 0, 0, -150, 254, 96, 32, 1, 7
1.902, 0.1461189649769653, 0.07682385119714263, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.5699999999999999, 0.138127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 250, 86, 4, 10, 8
1.957, 0.1507615407872702, 0.07703706734147685, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.74, 0.308127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 207, 108, 43, 22, 8
2.012, 0.1554041165975751, 0.07723862653955025, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.76, 0.328127539782006, 0, 0, 0, 240, 0, 0, 0, 150, 118, 230, 89, 122, 8
2.066, 0.1593136541220424, 0.07711212687417347, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.79, 0.3581275397820059, 0, 0, 0, 240, 0, 0, 0, 150, 68, 233, 50, 3, 8
