Tempo (s)            Distância (m)          Refletância (%)  Erro (%)            Velocidade Esq. (deg/s)  Velocidade Dir. (deg/s)  Velocidade Média (m/s)  Oscilação  Suavidade (deg/s)
0.017                0.0                    64               20.27720668859648   0                        0                        0.0                     0          0
0.06600000000000001  0.0002443460952792061  64               20.27720668859648   0                        3                        0.003702213564836456    0          3
0.106                0.001221730476396031   65               21.27720668859648   87                       70                       0.01152575921128331     0          154
0.141                0.002932153143350474   61               17.27720668859648   65                       157                      0.02079541236418776     0          99
0.181                0.005375614096142534   52               8.277206688596479   51                       198                      0.02969952539305268     0          64
0.22                 0.007819075048934597   27               -16.72279331140352  38                       213                      0.03554125022242998     1          30
0.259                0.01050688209700586    12               -31.72279331140352  85                       206                      0.04056711234365198     1          54
0.299                0.01319468914507713    9                -34.72279331140352  126                      140                      0.04412939513403724     1          108
0.338                0.01514945790731078    8                -35.72279331140352  187                      61                       0.04482088138257627     1          135
0.378                0.01734857276482363    8                -35.72279331140352  202                      35                       0.04589569514503607     1          46
0.41                 0.01930334152705728    8                -35.72279331140352  174                      31                       0.0470813207977007      1          36
0.448                0.02150245638457014    12               -31.72279331140352  192                      85                       0.04799655442984406     1          76
0.487                0.02443460952792061    19               -24.72279331140352  230                      54                       0.05017373619696225     1          71
0.527                0.02663372438543346    31               -12.72279331140352  217                      37                       0.05053837644294775     1          28
0.5620000000000001   0.02883283924294632    53               9.277206688596479   185                      50                       0.05130398441805396     2          45
0.602                0.03127630019573838    65               21.27720668859648   186                      67                       0.05195398703611027     2          18
0.637                0.03323106895797204    73               29.27720668859648   131                      82                       0.05216808313653381     2          61
0.674                0.03567452991076409    79               35.27720668859648   76                       194                      0.0529295696005402      2          174
0.713                0.03811799086355616    78               34.27720668859648   45                       217                      0.05346141776094834     2          56
0.75                 0.04031710572106901    70               26.27720668859648   50                       159                      0.05375614096142534     2          61
0.7890000000000001   0.04227187448330266    63               19.27720668859648   62                       197                      0.05357652025767131     2          43
0.827                0.04495968153137392    46               2.277206688596479   53                       227                      0.0543647902434993      2          43
0.8789999999999999   0.04838052686528282    28               -15.72279331140352  54                       189                      0.05504041736664712     3          38
0.927                0.05131268000863329    14               -29.72279331140352  68                       190                      0.05535348436745771     3          15
0.966                0.05351179486614615    11               -32.72279331140352  109                      121                      0.0553952327806896      3          103
0.999                0.05546656362837979    9                -34.72279331140352  200                      62                       0.05552208571409389     3          153
1.039                0.05791002458117185    9                -34.72279331140352  209                      35                       0.05573630854780736     3          41
1.077                0.0601091394386847     13               -30.72279331140352  164                      66                       0.05581164293285489     3          76
1.11                 0.06206390820091836    16               -27.72279331140352  186                      62                       0.05591343081163815     3          21
1.146                0.06426302305843122    24               -19.72279331140352  220                      53                       0.05607593635116163     3          47
1.187                0.06695083010650248    38               -5.722793311403521  210                      46                       0.05640339520345617     3          14
1.226                0.06939429105929453    54               10.27720668859648   189                      54                       0.05660219499126797     4          26
1.266                0.07159340591680739    67               23.27720668859648   177                      59                       0.05655087355198056     4          9
1.303                0.07379252077432024    77               33.27720668859648   145                      106                      0.05663278647300096     4          83
1.34                 0.07648032782239151    78               34.27720668859648   76                       191                      0.05707487150924741     4          160
1.376                0.07867944267990438    78               34.27720668859648   43                       214                      0.05717982752900028     4          36
1.41                 0.08063421144213802    78               34.27720668859648   56                       184                      0.05718738400151633     4          51
