Tempo (s), Distância (m), Vel. Média (m/s), Preto (%), Branco (%), Limite (%), Refletância (%), Erro (%), Ganho Proporcional ((°/s)/%), Ganho Integral ((°/s)/%), Ganho Derivativo ((°/s)/%), Vel. Base (°/s), Correção P (°/s), Correção I (°/s), Correção D (°/s), Correção (°/s), Vel. Angular Esq. (°/s), Vel. Angular Dir. (°/s), Suavidade Esq. (°/s), Suavidade Dir. (°/s), Oscilação
0.008, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.6, 0.168127539782006, 0, 0, 0, 220, 0, 0, 0, 150, 0, 0, 0, 0, 0
0.061, 0.0002443460952792061, 0.00400567369310174, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.79, 0.3581275397820059, 0, 0, 0, 220, 0, 0, 0, 150, 3, 0, 3, 0, 0
0.108, 0.002199114857512855, 0.02036217460660051, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.7800000000000001, 0.348127539782006, 0, 0, 0, 220, 0, 0, 0, 150, 86, 60, 83, 60, 0
0.16, 0.005131268000863328, 0.0320704250053958, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.75, 0.318127539782006, 0, 0, 0, 220, 0, 0, 0, 150, 75, 187, 11, 127, 0
0.21, 0.008796459430051421, 0.04188790204786391, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.54, 0.108127539782006, 0, 0, 0, 220, 0, 0, 0, 150, 57, 241, 18, 54, 0
0.266, 0.01319468914507713, 0.04960409453036515, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.18, -0.251872460217994, 0, 0, 0, 220, 0, 0, 0, -150, 82, 231, 25, 10, 1
0.313, 0.01637118838370681, 0.0523041162418748, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 220, 0, 0, 0, -150, 88, 176, 6, 55, 1
0.363, 0.0200363798128949, 0.05519663860301626, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.07000000000000001, -0.361872460217994, 0, 0, 0, 220, 0, 0, 0, -150, 179, 122, 91, 54, 1
0.414, 0.02345722514680379, 0.05665996412271447, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 220, 0, 0, 0, -150, 229, 59, 50, 63, 1
0.4640000000000001, 0.02712241657599188, 0.0584534839999825, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 220, 0, 0, 0, -150, 218, 90, 11, 31, 1
