Tempo (s), Distância (m), Vel. Média (m/s), Preto (%), Branco (%), Limite (%), Refletância (%), Erro (%), Ganho Proporcional ((°/s)/%), Ganho Integral ((°/s)/%), Ganho Derivativo ((°/s)/%), Vel. Base (°/s), Correção P (°/s), Correção I (°/s), Correção D (°/s), Correção (°/s), Vel. Angular Esq. (°/s), Vel. Angular Dir. (°/s), Suavidade Esq. (°/s), Suavidade Dir. (°/s), Oscilação
0.011, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8100000000000001, 0.378127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 0, 0, 0, 0, 0
0.05700000000000001, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8100000000000001, 0.378127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 0, 0, 0, 0, 0
0.102, 0.001221730476396031, 0.01197774976858854, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8100000000000001, 0.378127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 38, 13, 38, 13, 0
0.147, 0.003665191429188091, 0.02493327502849042, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8100000000000001, 0.378127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 65, 176, 27, 163, 0
0.191, 0.006352998477259359, 0.03326177213224795, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8100000000000001, 0.378127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 48, 204, 17, 28, 0
0.24, 0.009773843811168245, 0.04072434921320101, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.77, 0.338127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 60, 222, 12, 18, 0
0.293, 0.01295034304979792, 0.04419912303685299, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.5600000000000001, 0.128127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 59, 200, 1, 22, 0
0.341, 0.01563815009786919, 0.04585967770636127, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.28, -0.151872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 42, 184, 17, 16, 1
0.392, 0.01905899543177808, 0.04861988630555633, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.12, -0.311872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 71, 186, 29, 2, 1
0.439, 0.02174680247984935, 0.04953713548940625, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 160, 124, 89, 62, 1
0.487, 0.02467895562319982, 0.05067547355893186, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 218, 42, 58, 82, 1
0.5390000000000001, 0.02761110876655029, 0.05122654687671668, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 173, 40, 45, 2, 1
0.5819999999999999, 0.03029891581462156, 0.05205999280862811, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 200, 0, 0, 0, -150, 203, 70, 30, 30, 1
0.631, 0.03347541505325124, 0.05305137092432844, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.16, -0.271872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 219, 40, 16, 30, 1
0.681, 0.03689626038716012, 0.05417953067130709, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.34, -0.09187246021799403, 0, 0, 0, 200, 0, 0, 0, -150, 190, 58, 29, 18, 1
0.732, 0.0398284135305106, 0.0544104009979653, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.58, 0.148127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 189, 55, 1, 3, 2
0.781, 0.04251622057858187, 0.05443818255900367, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.76, 0.328127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 184, 58, 5, 3, 2
0.8279999999999999, 0.04569271981721155, 0.05518444422368544, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8, 0.368127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 95, 172, 89, 114, 2
0.8720000000000001, 0.04838052686528282, 0.05548225557945276, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.79, 0.3581275397820059, 0, 0, 0, 200, 0, 0, 0, 150, 51, 216, 44, 44, 2
0.926, 0.05131268000863329, 0.05541326134841609, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.77, 0.338127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 36, 173, 15, 43, 2
0.9719999999999999, 0.05424483315198376, 0.05580744151438659, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.61, 0.178127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 61, 189, 25, 16, 2
1.022, 0.05742133239061344, 0.05618525674228321, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.3, -0.131872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 44, 219, 17, 30, 3
1.073, 0.06035348553396391, 0.05624742361040439, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.12, -0.311872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 63, 167, 19, 52, 3
1.121, 0.0635299847725936, 0.05667260015396396, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 149, 122, 86, 45, 3
1.167, 0.06621779182066485, 0.05674189530476852, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 203, 45, 54, 77, 3
1.218, 0.06939429105929453, 0.05697396638694133, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 200, 0, 0, 0, -150, 188, 49, 15, 4, 3
1.262, 0.07183775201208659, 0.05692373376552028, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.14, -0.291872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 206, 55, 18, 6, 3
1.31, 0.07501425125071628, 0.05726278721428725, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.27, -0.161872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 207, 41, 1, 14, 3
1.361, 0.07819075048934597, 0.05745095553956352, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.51, 0.07812753978200597, 0, 0, 0, 200, 0, 0, 0, 150, 190, 66, 17, 25, 4
1.41, 0.08112290363269643, 0.05753397420758612, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.6899999999999999, 0.258127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 180, 50, 10, 16, 4
1.461, 0.0840550567760469, 0.05753255083918338, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.76, 0.328127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 94, 162, 86, 112, 4
1.512, 0.08747590210995581, 0.05785443261240463, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.7800000000000001, 0.348127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 44, 227, 50, 65, 4
1.562, 0.08991936306274784, 0.0575668137405556, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.77, 0.338127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 41, 155, 3, 72, 4
1.611, 0.09334020839665675, 0.05793929757706813, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.63, 0.198127539782006, 0, 0, 0, 200, 0, 0, 0, 150, 64, 211, 23, 56, 4
1.661, 0.09651670763528644, 0.05810759038849273, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.29, -0.141872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 58, 218, 6, 7, 5
1.712, 0.09920451468335768, 0.05794656231504538, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.12, -0.311872460217994, 0, 0, 0, 200, 0, 0, 0, -150, 47, 178, 11, 40, 5
