Tempo (s), Distância (m), Vel. Média (m/s), Preto (%), Branco (%), Limite (%), Refletância (%), Erro (%), Ganho Proporcional ((°/s)/%), Ganho Integral ((°/s)/%), Ganho Derivativo ((°/s)/%), Vel. Base (°/s), Correção P (°/s), Correção I (°/s), Correção D (°/s), Correção (°/s), Vel. Angular Esq. (°/s), Vel. Angular Dir. (°/s), Suavidade Esq. (°/s), Suavidade Dir. (°/s), Oscilação
0.01, 0.0, 0.0, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.6800000000000001, 0.248127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 0, 0, 0, 0, 0
0.063, 0.0002443460952792061, 0.003878509448876288, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8199999999999999, 0.388127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 3, 0, 3, 0, 0
0.108, 0.001954768762233649, 0.01809971076142268, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8100000000000001, 0.378127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 65, 53, 62, 53, 0
0.157, 0.004642575810304916, 0.0295705465624517, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8100000000000001, 0.378127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 80, 191, 15, 138, 0
0.206, 0.008796459430051421, 0.04270125936918165, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8, 0.368127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 86, 254, 6, 63, 0
0.257, 0.01343903524035634, 0.05229196591578342, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.63, 0.198127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 88, 257, 2, 3, 0
0.307, 0.01734857276482363, 0.05651000900594019, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.29, -0.141872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 76, 233, 12, 24, 1
0.358, 0.02101376419401173, 0.05869766534640148, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.13, -0.301872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 88, 194, 12, 39, 1
0.408, 0.02492330171847903, 0.06108652381980153, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 199, 134, 111, 60, 1
0.457, 0.02883283924294632, 0.06309155195393069, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 244, 75, 45, 59, 1
0.503, 0.032009338481576, 0.0636368558281829, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.1, -0.3318724602179941, 0, 0, 0, 240, 0, 0, 0, -160, 231, 81, 13, 6, 1
0.549, 0.03640756819660171, 0.06631615336357324, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.18, -0.251872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 258, 83, 27, 2, 1
0.599, 0.0398284135305106, 0.06649150839818131, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.35, -0.08187246021799403, 0, 0, 0, 240, 0, 0, 0, -160, 228, 74, 30, 9, 1
0.6470000000000001, 0.0434936049596987, 0.06722350071050803, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.6, 0.168127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 243, 87, 15, 13, 2
0.698, 0.0476474885794452, 0.06826287762098166, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.7800000000000001, 0.348127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 223, 97, 20, 10, 2
0.748, 0.05131268000863329, 0.06859983958373435, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.79, 0.3581275397820059, 0, 0, 0, 240, 0, 0, 0, 160, 131, 198, 92, 101, 2
0.7930000000000001, 0.05497787143782138, 0.06932896776522242, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.79, 0.3581275397820059, 0, 0, 0, 240, 0, 0, 0, 160, 75, 252, 56, 54, 2
0.8369999999999999, 0.05839871677173027, 0.06977146567709709, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.74, 0.308127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 76, 217, 1, 35, 2
0.893, 0.06255260039147677, 0.07004770480568507, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.5300000000000001, 0.09812753978200597, 0, 0, 0, 240, 0, 0, 0, 160, 82, 250, 6, 33, 2
0.9389999999999999, 0.06670648401122326, 0.07103991907478515, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.23, -0.201872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 83, 250, 1, 0, 3
0.9960000000000001, 0.07086036763096977, 0.07114494742065238, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 240, 0, 0, 0, -160, 106, 190, 23, 60, 3
1.046, 0.07452555906015787, 0.07124814441697693, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.07000000000000001, -0.361872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 193, 145, 87, 45, 3
1.096, 0.07843509658462517, 0.07156486914655581, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 241, 60, 48, 85, 3
1.146, 0.08234463410909248, 0.07185395646517668, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 240, 0, 0, 0, -160, 228, 90, 13, 30, 3
1.196, 0.08674286382411818, 0.0725274781138112, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.21, -0.221872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 269, 83, 41, 7, 3
1.252, 0.09065240134858549, 0.07240607136468489, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.52, 0.08812753978200597, 0, 0, 0, 240, 0, 0, 0, 160, 230, 77, 39, 6, 4
1.303, 0.09480628496833198, 0.07276000381299461, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.7800000000000001, 0.348127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 221, 100, 9, 23, 4
1.348, 0.09822713030224087, 0.07286879102540124, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.85, 0.418127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 146, 198, 75, 98, 4
1.395, 0.101892321731429, 0.07304109084690248, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.86, 0.428127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 74, 245, 72, 47, 4
1.442, 0.1058018592558962, 0.07337160836053831, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.8299999999999999, 0.398127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 73, 227, 1, 18, 4
1.493, 0.1097113967803635, 0.07348385584753085, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.5600000000000001, 0.128127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 89, 244, 16, 17, 4
1.557, 0.1148426647812269, 0.07375893691793634, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.14, -0.291872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 79, 242, 10, 2, 5
1.606, 0.118507856210415, 0.073790695025165, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 91, 218, 12, 24, 5
1.656, 0.1224173937348823, 0.07392354694135403, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 194, 137, 103, 81, 5
1.708, 0.1263269312593496, 0.07396190354762854, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 240, 0, 0, 0, -160, 243, 69, 49, 68, 5
1.755, 0.1302364687838169, 0.07420881412183298, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 238, 81, 5, 12, 5
1.805, 0.1343903524035634, 0.07445448886624009, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.1, -0.3318724602179941, 0, 0, 0, 240, 0, 0, 0, -160, 254, 80, 16, 1, 5
1.863, 0.1385442360233099, 0.07436620291106273, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.29, -0.141872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 231, 80, 23, 0, 5
1.916, 0.1426981196430564, 0.07447709793478934, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.5699999999999999, 0.138127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 231, 78, 0, 2, 6
1.966, 0.1466076571675237, 0.07457154484614632, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.76, 0.328127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 235, 99, 4, 21, 6
2.018, 0.1507615407872702, 0.07470839484007442, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.76, 0.328127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 138, 193, 97, 94, 6
2.066, 0.1544267322164583, 0.07474672420932153, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.77, 0.338127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 75, 239, 63, 46, 6
2.116, 0.1578475775503672, 0.07459715385178033, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.79, 0.3581275397820059, 0, 0, 0, 240, 0, 0, 0, 160, 69, 230, 6, 9, 6
2.163, 0.1622458072653929, 0.07500961963263655, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.7800000000000001, 0.348127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 92, 246, 23, 16, 6
2.219, 0.1666440369804186, 0.07509870977035538, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.4600000000000001, 0.02812753978200597, 0, 0, 0, 240, 0, 0, 0, 160, 75, 245, 17, 1, 6
2.267, 0.1703092284096066, 0.07512537644887811, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.16, -0.271872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 80, 229, 5, 16, 7
2.316, 0.1737300737435156, 0.07501298520877184, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 99, 222, 19, 7, 7
2.363, 0.1776396112679828, 0.07517545969868085, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 188, 153, 89, 69, 7
2.418, 0.1817934948877294, 0.07518341393206343, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.08, -0.351872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 235, 65, 47, 88, 7
2.467, 0.1857030324121967, 0.07527484086428727, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.07000000000000001, -0.361872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 256, 90, 21, 25, 7
2.517, 0.189612569936664, 0.0753327651714994, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.09, -0.3418724602179941, 0, 0, 0, 240, 0, 0, 0, -160, 239, 86, 17, 4, 7
2.566, 0.1935221074611313, 0.07541781272842217, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.18, -0.251872460217994, 0, 0, 0, 240, 0, 0, 0, -160, 245, 74, 6, 12, 7
2.626, 0.1981646832714361, 0.07546256027092008, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.5, 0.06812753978200598, 0, 0, 0, 240, 0, 0, 0, 160, 238, 80, 7, 6, 8
2.675, 0.2020742207959035, 0.07554176478351531, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.6899999999999999, 0.258127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 227, 92, 11, 12, 8
2.725, 0.2059837583203708, 0.07559037002582414, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.71, 0.278127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 142, 191, 85, 99, 8
2.781, 0.2103819880353964, 0.07564976196885885, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.7199999999999999, 0.288127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 69, 233, 73, 42, 8
2.826, 0.2138028333693053, 0.07565563813492759, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.77, 0.338127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 76, 221, 7, 12, 8
2.877, 0.2179567169890519, 0.07575833054885362, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.6899999999999999, 0.258127539782006, 0, 0, 0, 240, 0, 0, 0, 160, 86, 251, 10, 30, 8
2.936, 0.2225992927993568, 0.0758171978199444, 0.08005089058524174, 0.7836940298507463, 0.431872460217994, 0.34, -0.09187246021799403, 0, 0, 0, 240, 0, 0, 0, -160, 81, 248, 5, 3, 9
